;Freq(Hz)	Relative Amplitude (dB): Left
19485.3516	-128.909439
19488.2812	-127.093010
19491.2109	-132.260788
19494.1406	-131.687668
19497.0703	-130.715591
19500.0000	-136.048080
19502.9297	-130.402542
19505.8594	-137.463638
19508.7891	-133.389938
19511.7188	-135.105118
19514.6484	-133.990829
19517.5781	-141.874741
19520.5078	-135.050430
19523.4375	-135.145660
19526.3672	-129.585541
19529.2969	-138.151947
19532.2266	-134.219177
19535.1562	-133.391129
19538.0859	-128.677811
19541.0156	-131.267853
19543.9453	-136.809494
19546.8750	-125.953506
19549.8047	-122.422020
19552.7344	-123.377838
19555.6641	-125.627274
19558.5938	-130.128738
19561.5234	-134.255249
19564.4531	-133.192551
19567.3828	-140.336594
19570.3125	-129.627930
19573.2422	-128.794083
19576.1719	-131.927231
19579.1016	-129.027908
19582.0312	-134.722260
19584.9609	-131.397659
19587.8906	-135.404922
19590.8203	-130.078659
19593.7500	-130.695648
19596.6797	-128.167099
19599.6094	-126.232841
19602.5391	-126.646530
19605.4688	-141.520172
19608.3984	-134.012192
19611.3281	-137.346451
19614.2578	-133.182800
19617.1875	-131.699280
19620.1172	-130.456238
19623.0469	-138.589417
19625.9766	-135.113419
19628.9062	-132.822708
19631.8359	-135.398117
19634.7656	-129.397903
19637.6953	-125.500275
19640.6250	-129.263870
19643.5547	-132.363815
19646.4844	-129.251129
19649.4141	-132.214737
19652.3438	-124.173042
19655.2734	-127.245880
19658.2031	-146.913727
19661.1328	-133.731033
19664.0625	-133.683563
19666.9922	-137.533524
19669.9219	-130.903625
19672.8516	-130.170822
19675.7812	-132.765015
19678.7109	-131.344727
19681.6406	-135.581268
19684.5703	-137.303284
19687.5000	-137.343735
19690.4297	-130.041397
19693.3594	-130.365616
19696.2891	-135.616180
19699.2188	-142.269287
19702.1484	-132.767487
19705.0781	-143.382080
19708.0078	-128.356384
19710.9375	-131.877518
19713.8672	-133.388458
19716.7969	-131.783508
19719.7266	-129.287979
19722.6562	-127.077217
19725.5859	-130.852493
19728.5156	-138.878036
19731.4453	-141.984070
19734.3750	-133.844894
19737.3047	-129.375977
19740.2344	-130.179855
19743.1641	-132.010986
19746.0938	-135.581161
19749.0234	-133.181839
19751.9531	-126.306778
19754.8828	-124.776802
19757.8125	-129.387894
19760.7422	-128.938248
19763.6719	-130.828369
19766.6016	-136.642807
19769.5312	-149.682068
19772.4609	-133.071030
19775.3906	-132.622452
19778.3203	-137.619019
19781.2500	-134.041351
19784.1797	-136.026764
19787.1094	-130.956406
19790.0391	-127.442024
19792.9688	-127.298088
19795.8984	-127.059624
19798.8281	-130.482574
19801.7578	-125.980026
19804.6875	-132.338470
19807.6172	-125.523811
19810.5469	-126.108131
19813.4766	-124.813309
19816.4062	-125.435127
19819.3359	-138.295807
19822.2656	-133.305984
19825.1953	-132.123169
19828.1250	-134.403976
19831.0547	-135.705750
19833.9844	-128.036392
19836.9141	-125.368782
19839.8438	-129.579346
19842.7734	-147.486221
19845.7031	-150.657349
19848.6328	-131.318314
19851.5625	-125.249535
19854.4922	-135.403961
19857.4219	-133.726166
19860.3516	-144.596390
19863.2812	-130.927979
19866.2109	-130.782654
19869.1406	-135.503799
19872.0703	-139.851624
19875.0000	-140.405472
19877.9297	-141.079483
19880.8594	-128.420975
19883.7891	-129.485504
19886.7188	-132.247284
19889.6484	-138.463669
19892.5781	-133.584351
19895.5078	-129.704620
19898.4375	-131.425034
19901.3672	-128.519974
19904.2969	-123.951103
19907.2266	-124.517899
19910.1562	-126.725906
19913.0859	-134.208878
19916.0156	-134.029160
19918.9453	-129.939377
19921.8750	-129.870590
19924.8047	-129.655731
19927.7344	-135.754623
19930.6641	-140.385635
19933.5938	-135.734695
19936.5234	-140.202164
19939.4531	-131.867020
19942.3828	-133.112320
19945.3125	-138.538940
19948.2422	-130.947632
19951.1719	-123.519585
19954.1016	-124.697884
19957.0312	-138.696335
19959.9609	-135.310318
19962.8906	-126.535942
19965.8203	-125.886276
19968.7500	-126.837791
19971.6797	-130.101379
19974.6094	-137.871658
19977.5391	-127.851929
19980.4688	-127.700035
19983.3984	-131.594025
19986.3281	-131.698853
19989.2578	-129.385788
19992.1875	-141.956161
19995.1172	-132.972610
19998.0469	-140.101593
20000.9766	-131.885605
20003.9062	-130.013672
20006.8359	-134.693497
20009.7656	-134.845779
20012.6953	-127.586098
20015.6250	-131.278687
20018.5547	-149.208740
20021.4844	-143.978531
20024.4141	-132.978745
20027.3438	-132.312836
20030.2734	-135.057159
20033.2031	-125.000763
20036.1328	-125.648384
20039.0625	-134.386124
20041.9922	-138.893814
20044.9219	-139.874237
20047.8516	-134.040131
20050.7812	-142.221863
20053.7109	-131.840195
20056.6406	-144.564026
20059.5703	-144.749832
20062.5000	-135.413879
20065.4297	-131.499512
20068.3594	-134.778336
20071.2891	-146.013626
20074.2188	-133.890778
20077.1484	-128.485168
20080.0781	-127.321465
20083.0078	-129.719757
20085.9375	-137.364380
20088.8672	-137.078491
20091.7969	-144.984589
20094.7266	-132.607132
20097.6562	-133.279327
20100.5859	-129.740341
20103.5156	-127.296516
20106.4453	-130.188248
20109.3750	-128.780502
20112.3047	-129.222427
20115.2344	-132.275177
20118.1641	-133.859818
20121.0938	-134.071411
20124.0234	-130.418106
20126.9531	-134.441299
20129.8828	-141.846695
20132.8125	-135.093155
20135.7422	-130.156006
20138.6719	-127.516991
20141.6016	-127.564880
20144.5312	-132.326172
20147.4609	-141.622452
20150.3906	-133.252441
20153.3203	-131.875580
20156.2500	-137.146515
20159.1797	-133.742035
20162.1094	-132.848480
20165.0391	-129.175964
20167.9688	-138.920181
20170.8984	-133.581680
20173.8281	-132.791687
20176.7578	-131.945343
20179.6875	-128.650482
20182.6172	-139.469604
20185.5469	-133.250244
20188.4766	-129.319214
20191.4062	-139.955048
20194.3359	-135.675278
20197.2656	-133.315811
20200.1953	-142.109787
20203.1250	-133.373306
20206.0547	-140.754807
20208.9844	-130.338776
20211.9141	-127.963722
20214.8438	-131.492508
20217.7734	-151.613037
20220.7031	-127.082321
20223.6328	-131.912598
20226.5625	-129.610153
20229.4922	-126.903938
20232.4219	-139.630753
20235.3516	-135.080780
20238.2812	-136.757324
20241.2109	-130.820908
20244.1406	-129.069977
20247.0703	-127.814301
20250.0000	-131.417999
20252.9297	-127.623238
20255.8594	-145.846939
20258.7891	-127.101036
20261.7188	-125.496933
20264.6484	-130.465408
20267.5781	-132.311111
20270.5078	-131.629211
20273.4375	-163.987946
20276.3672	-132.957825
20279.2969	-127.766708
20282.2266	-126.451950
20285.1562	-127.495941
20288.0859	-126.544891
20291.0156	-126.160522
20293.9453	-130.107239
20296.8750	-137.915924
20299.8047	-141.243790
20302.7344	-132.058578
20305.6641	-134.906021
20308.5938	-141.854446
20311.5234	-147.378220
20314.4531	-130.767868
20317.3828	-126.048584
20320.3125	-132.888367
20323.2422	-138.238708
20326.1719	-129.445084
20329.1016	-131.150452
20332.0312	-143.421722
20334.9609	-128.941574
20337.8906	-128.332626
20340.8203	-133.983734
20343.7500	-137.994492
20346.6797	-137.644028
20349.6094	-143.357269
20352.5391	-133.146027
20355.4688	-142.240143
20358.3984	-132.604919
20361.3281	-131.992157
20364.2578	-134.096802
20367.1875	-138.916962
20370.1172	-136.052017
20373.0469	-133.608231
20375.9766	-131.525665
20378.9062	-128.715424
20381.8359	-133.796265
20384.7656	-135.493027
20387.6953	-128.976334
20390.6250	-130.311554
20393.5547	-130.216675
20396.4844	-130.535858
20399.4141	-128.008514
20402.3438	-139.775955
20405.2734	-131.515045
20408.2031	-133.364777
20411.1328	-136.464127
20414.0625	-139.289627
20416.9922	-138.006561
20419.9219	-138.182114
20422.8516	-133.574554
20425.7812	-136.908539
20428.7109	-137.043640
20431.6406	-138.465012
20434.5703	-142.560516
20437.5000	-136.236374
20440.4297	-136.787186
20443.3594	-136.071579
20446.2891	-137.397278
20449.2188	-139.703873
20452.1484	-129.413147
20455.0781	-126.751678
20458.0078	-134.155258
20460.9375	-141.324051
20463.8672	-139.228302
20466.7969	-132.090927
20469.7266	-134.743683
20472.6562	-135.027618
20475.5859	-135.174362
20478.5156	-135.203522
20481.4453	-137.878708
20484.3750	-130.982773
20487.3047	-123.745094
20490.2344	-126.511253
20493.1641	-131.605072
20496.0938	-131.235764
20499.0234	-155.548019
20501.9531	-132.108734
20504.8828	-134.448868
20507.8125	-126.445732
20510.7422	-131.933945
20513.6719	-140.509567
20516.6016	-133.421844
20519.5312	-130.769073
20522.4609	-135.004791
20525.3906	-138.868744
20528.3203	-130.756973
20531.2500	-133.669327
20534.1797	-134.668411
20537.1094	-136.277771
20540.0391	-136.605331
20542.9688	-125.045349
20545.8984	-126.162270
20548.8281	-126.209877
20551.7578	-122.950218
20554.6875	-123.409554
20557.6172	-122.650185
20560.5469	-123.161621
20563.4766	-124.639481
20566.4062	-119.924545
20569.3359	-127.412407
20572.2656	-122.697105
20575.1953	-127.708710
20578.1250	-129.396408
20581.0547	-127.525368
20583.9844	-125.681137
20586.9141	-122.326202
20589.8438	-121.321251
20592.7734	-124.880142
20595.7031	-120.467461
20598.6328	-116.412369
20601.5625	-112.848442
20604.4922	-117.988663
20607.4219	-129.092163
20610.3516	-117.562965
20613.2812	-116.706642
20616.2109	-120.614075
20619.1406	-121.097092
20622.0703	-129.970734
20625.0000	-114.177010
20627.9297	-113.895935
20630.8594	-110.671379
20633.7891	-105.528076
20636.7188	-105.343788
20639.6484	-118.016441
20642.5781	-107.369591
20645.5078	-107.729149
20648.4375	-106.390007
20651.3672	-100.580246
20654.2969	-104.895111
20657.2266	-116.272995
20660.1562	-111.608582
20663.0859	-110.662704
20666.0156	-114.591522
20668.9453	-112.508163
20671.8750	-115.960884
20674.8047	-137.320786
20677.7344	-125.571167
20680.6641	-126.608192
20683.5938	-116.874100
20686.5234	-123.753799
20689.4531	-121.594101
20692.3828	-125.007889
20695.3125	-119.100449
20698.2422	-121.020119
20701.1719	-114.637131
20704.1016	-120.201241
20707.0312	-118.383728
20709.9609	-125.502350
20712.8906	-129.394669
20715.8203	-126.354805
20718.7500	-127.739273
20721.6797	-124.735107
20724.6094	-120.198593
20727.5391	-121.452904
20730.4688	-124.245178
20733.3984	-126.943260
20736.3281	-127.600479
20739.2578	-129.524658
20742.1875	-136.906113
20745.1172	-124.896759
20748.0469	-117.437607
20750.9766	-114.112183
20753.9062	-116.065079
20756.8359	-127.605522
20759.7656	-131.897583
20762.6953	-128.305817
20765.6250	-133.085785
20768.5547	-127.550690
20771.4844	-126.028328
20774.4141	-123.442329
20777.3438	-123.162506
20780.2734	-124.344231
20783.2031	-127.820198
20786.1328	-137.013229
20789.0625	-130.108551
20791.9922	-128.040939
20794.9219	-131.349091
20797.8516	-120.363617
20800.7812	-120.620178
20803.7109	-126.225182
20806.6406	-131.874130
20809.5703	-127.486122
20812.5000	-126.514214
20815.4297	-131.172455
20818.3594	-131.701385
20821.2891	-124.945068
20824.2188	-125.743294
20827.1484	-130.406601
20830.0781	-123.733826
