;Freq(Hz)	Relative Amplitude (dB): Left
19001.9531	-70.766350
19004.8828	-70.795929
19007.8125	-70.807877
19010.7422	-70.828979
19013.6719	-70.844353
19016.6016	-70.859604
19019.5312	-70.886787
19022.4609	-70.916649
19025.3906	-70.934937
19028.3203	-70.954796
19031.2500	-70.980377
19034.1797	-70.995468
19037.1094	-71.005508
19040.0391	-71.021538
19042.9688	-71.038506
19045.8984	-71.062164
19048.8281	-71.095360
19051.7578	-71.111435
19054.6875	-71.124817
19057.6172	-71.150002
19060.5469	-71.164398
19063.4766	-71.173134
19066.4062	-71.193451
19069.3359	-71.219254
19072.2656	-71.241348
19075.1953	-71.265259
19078.1250	-71.292915
19081.0547	-71.320366
19083.9844	-71.348755
19086.9141	-71.375816
19089.8438	-71.398071
19092.7734	-71.435158
19095.7031	-71.476562
19098.6328	-71.497978
19101.5625	-71.517654
19104.4922	-71.538536
19107.4219	-71.553658
19110.3516	-71.568893
19113.2812	-71.597755
19116.2109	-71.619354
19119.1406	-71.635544
19122.0703	-71.645401
19125.0000	-71.653595
19127.9297	-71.671219
19130.8594	-71.698158
19133.7891	-71.725609
19136.7188	-71.745659
19139.6484	-71.759224
19142.5781	-71.771088
19145.5078	-71.797646
19148.4375	-71.832001
19151.3672	-71.842705
19154.2969	-71.843147
19157.2266	-71.863945
19160.1562	-71.885376
19163.0859	-71.901199
19166.0156	-71.922264
19168.9453	-71.946495
19171.8750	-71.973671
19174.8047	-71.995033
19177.7344	-72.017487
19180.6641	-72.046555
19183.5938	-72.076111
19186.5234	-72.101433
19189.4531	-72.120453
19192.3828	-72.133080
19195.3125	-72.149673
19198.2422	-72.185966
19201.1719	-72.219131
19204.1016	-72.238342
19207.0312	-72.254318
19209.9609	-72.268776
19212.8906	-72.297638
19215.8203	-72.334198
19218.7500	-72.366249
19221.6797	-72.394493
19224.6094	-72.421547
19227.5391	-72.455124
19230.4688	-72.485260
19233.3984	-72.505981
19236.3281	-72.535095
19239.2578	-72.564049
19242.1875	-72.581291
19245.1172	-72.603500
19248.0469	-72.620110
19250.9766	-72.651665
19253.9062	-72.704979
19256.8359	-72.738731
