;Freq(Hz)	Relative Amplitude (dB): Left
18984.3750	-79.941238
18987.3047	-79.952187
18990.2344	-79.960541
18993.1641	-79.966446
18996.0938	-79.979210
18999.0234	-80.001785
19001.9531	-80.005760
19004.8828	-80.010010
19007.8125	-80.036461
19010.7422	-80.029732
19013.6719	-80.005676
19016.6016	-80.033432
19019.5312	-80.091621
19022.4609	-80.129486
19025.3906	-80.138618
19028.3203	-80.119324
19031.2500	-80.101379
19034.1797	-80.093109
19037.1094	-80.090347
19040.0391	-80.094406
19042.9688	-80.117027
19045.8984	-80.124504
19048.8281	-80.135834
19051.7578	-80.161232
19054.6875	-80.156487
19057.6172	-80.145699
19060.5469	-80.143257
19063.4766	-80.161819
19066.4062	-80.189789
19069.3359	-80.203850
19072.2656	-80.194183
19075.1953	-80.200317
19078.1250	-80.246475
19081.0547	-80.259148
19083.9844	-80.225647
19086.9141	-80.209801
19089.8438	-80.217171
19092.7734	-80.217834
19095.7031	-80.213951
19098.6328	-80.241455
19101.5625	-80.268311
19104.4922	-80.265793
19107.4219	-80.286545
19110.3516	-80.309082
19113.2812	-80.304955
19116.2109	-80.305664
19119.1406	-80.331383
19122.0703	-80.357452
19125.0000	-80.356651
19127.9297	-80.367340
19130.8594	-80.386559
19133.7891	-80.395348
19136.7188	-80.419113
19139.6484	-80.446136
19142.5781	-80.470467
19145.5078	-80.483383
19148.4375	-80.477097
19151.3672	-80.477798
19154.2969	-80.507080
19157.2266	-80.525360
19160.1562	-80.514076
19163.0859	-80.499939
19166.0156	-80.473717
19168.9453	-80.460625
19171.8750	-80.494881
19174.8047	-80.542381
19177.7344	-80.561989
19180.6641	-80.559036
19183.5938	-80.544044
19186.5234	-80.518623
19189.4531	-80.529472
19192.3828	-80.575455
19195.3125	-80.591858
19198.2422	-80.567879
19201.1719	-80.577812
19204.1016	-80.642654
19207.0312	-80.674896
19209.9609	-80.658485
19212.8906	-80.664474
19215.8203	-80.701393
19218.7500	-80.719124
19221.6797	-80.720428
19224.6094	-80.742470
19227.5391	-80.771713
19230.4688	-80.800247
19233.3984	-80.814934
19236.3281	-80.796814
19239.2578	-80.801682
19242.1875	-80.842186
19245.1172	-80.848846
19248.0469	-80.813942
19250.9766	-80.806152
19253.9062	-80.838600
19256.8359	-80.886642
19259.7656	-80.948647
19262.6953	-80.985756
19265.6250	-80.980499
19268.5547	-80.966110
19271.4844	-80.964027
19274.4141	-80.987762
19277.3438	-81.033356
19280.2734	-81.066414
19283.2031	-81.048103
19286.1328	-81.053131
19289.0625	-81.078049
19291.9922	-81.058411
19294.9219	-81.054070
19297.8516	-81.083069
19300.7812	-81.103630
19303.7109	-81.116341
19306.6406	-81.125740
19309.5703	-81.152969
19312.5000	-81.160225
19315.4297	-81.134247
19318.3594	-81.143188
19321.2891	-81.158333
19324.2188	-81.163513
19327.1484	-81.211792
19330.0781	-81.243988
19333.0078	-81.241013
19335.9375	-81.241371
19338.8672	-81.238144
19341.7969	-81.264038
19344.7266	-81.310982
19347.6562	-81.318733
19350.5859	-81.304588
19353.5156	-81.326912
19356.4453	-81.373238
19359.3750	-81.395760
19362.3047	-81.405235
19365.2344	-81.417297
19368.1641	-81.433571
19371.0938	-81.457283
19374.0234	-81.471413
19376.9531	-81.495293
19379.8828	-81.525688
19382.8125	-81.532166
19385.7422	-81.518616
19388.6719	-81.519112
19391.6016	-81.555412
19394.5312	-81.592056
19397.4609	-81.598244
19400.3906	-81.606712
19403.3203	-81.647865
19406.2500	-81.672836
19409.1797	-81.665047
19412.1094	-81.674774
19415.0391	-81.683861
19417.9688	-81.700165
19420.8984	-81.763458
19423.8281	-81.819412
19426.7578	-81.833633
19429.6875	-81.856331
19432.6172	-81.895576
19435.5469	-81.913864
19438.4766	-81.910522
19441.4062	-81.897804
19444.3359	-81.934784
19447.2656	-81.995247
19450.1953	-82.024704
19453.1250	-82.062782
19456.0547	-82.069031
19458.9844	-82.084175
19461.9141	-82.108322
19464.8438	-82.116806
19467.7734	-82.140457
19470.7031	-82.144814
19473.6328	-82.170906
19476.5625	-82.221298
19479.4922	-82.238556
19482.4219	-82.250084
19485.3516	-82.268791
19488.2812	-82.286568
19491.2109	-82.317108
19494.1406	-82.352356
19497.0703	-82.371307
19500.0000	-82.363937
19502.9297	-82.364876
19505.8594	-82.404411
19508.7891	-82.459976
19511.7188	-82.508499
19514.6484	-82.540390
19517.5781	-82.542717
19520.5078	-82.537086
19523.4375	-82.575745
19526.3672	-82.630127
19529.2969	-82.646149
19532.2266	-82.679665
19535.1562	-82.745216
19538.0859	-82.792877
19541.0156	-82.821831
19543.9453	-82.856316
19546.8750	-82.899345
19549.8047	-82.907410
19552.7344	-82.899940
19555.6641	-82.949486
19558.5938	-82.991257
19561.5234	-82.981873
19564.4531	-83.028000
19567.3828	-83.127220
19570.3125	-83.193169
19573.2422	-83.236420
19576.1719	-83.256691
19579.1016	-83.264877
19582.0312	-83.296440
19584.9609	-83.331512
19587.8906	-83.357399
19590.8203	-83.387146
19593.7500	-83.436234
19596.6797	-83.498940
19599.6094	-83.556831
19602.5391	-83.592964
19605.4688	-83.633682
19608.3984	-83.690582
19611.3281	-83.722282
19614.2578	-83.732330
19617.1875	-83.780228
19620.1172	-83.850456
19623.0469	-83.888062
19625.9766	-83.937019
19628.9062	-83.991371
19631.8359	-84.047577
19634.7656	-84.119957
19637.6953	-84.180130
19640.6250	-84.252762
19643.5547	-84.281487
19646.4844	-84.263763
19649.4141	-84.313622
19652.3438	-84.393974
19655.2734	-84.469727
19658.2031	-84.572716
19661.1328	-84.634232
19664.0625	-84.640442
19666.9922	-84.675743
19669.9219	-84.761292
19672.8516	-84.875626
19675.7812	-84.975670
19678.7109	-85.046410
19681.6406	-85.092812
19684.5703	-85.161697
19687.5000	-85.259872
19690.4297	-85.315605
19693.3594	-85.369789
19696.2891	-85.462448
19699.2188	-85.581680
19702.1484	-85.648422
19705.0781	-85.683578
19708.0078	-85.779617
19710.9375	-85.899422
19713.8672	-85.944344
19716.7969	-85.989639
19719.7266	-86.115356
19722.6562	-86.218178
19725.5859	-86.290932
19728.5156	-86.425934
19731.4453	-86.574242
19734.3750	-86.648262
19737.3047	-86.735916
19740.2344	-86.839851
19743.1641	-86.976326
19746.0938	-87.193840
19749.0234	-87.298668
19751.9531	-87.276657
19754.8828	-87.351883
19757.8125	-87.559616
19760.7422	-87.739548
19763.6719	-87.844437
19766.6016	-87.983963
19769.5312	-88.151672
19772.4609	-88.326965
19775.3906	-88.537254
19778.3203	-88.687141
19781.2500	-88.842262
19784.1797	-89.082787
19787.1094	-89.277542
19790.0391	-89.442131
19792.9688	-89.658035
19795.8984	-89.879471
19798.8281	-90.116623
19801.7578	-90.385399
19804.6875	-90.652580
19807.6172	-90.909576
19810.5469	-91.096931
19813.4766	-91.371086
19816.4062	-91.805855
19819.3359	-92.143669
19822.2656	-92.393623
19825.1953	-92.761200
19828.1250	-93.233330
19831.0547	-93.737602
19833.9844	-94.203804
19836.9141	-94.729675
19839.8438	-95.384567
19842.7734	-95.939049
19845.7031	-96.412727
19848.6328	-96.994507
19851.5625	-97.756760
19854.4922	-98.611130
19857.4219	-99.644112
19860.3516	-101.242043
19863.2812	-103.092430
19866.2109	-104.478836
19869.1406	-106.072006
19872.0703	-109.751442
19875.0000	-115.798569
19877.9297	-118.740822
19880.8594	-114.216461
19883.7891	-109.991585
19886.7188	-106.845039
19889.6484	-103.968369
19892.5781	-101.569740
19895.5078	-99.828812
19898.4375	-98.448059
19901.3672	-97.121422
19904.2969	-95.939537
19907.2266	-94.880768
19910.1562	-93.896530
19913.0859	-93.024956
19916.0156	-92.254791
19918.9453	-91.468941
19921.8750	-90.665306
19924.8047	-89.950821
19927.7344	-89.233635
19930.6641	-88.537575
19933.5938	-87.959747
19936.5234	-87.418541
19939.4531	-86.840385
19942.3828	-86.262383
19945.3125	-85.750198
19948.2422	-85.217339
19951.1719	-84.631332
19954.1016	-84.060989
19957.0312	-83.564720
19959.9609	-83.085030
19962.8906	-82.577065
19965.8203	-82.083824
19968.7500	-81.580688
19971.6797	-81.084358
19974.6094	-80.616341
19977.5391	-80.153969
19980.4688	-79.701782
19983.3984	-79.256508
19986.3281	-78.788071
19989.2578	-78.296715
19992.1875	-77.825821
19995.1172	-77.355194
19998.0469	-76.853996
20000.9766	-76.362854
20003.9062	-75.885696
20006.8359	-75.406952
20009.7656	-74.932961
20012.6953	-74.446449
20015.6250	-73.926941
20018.5547	-73.419380
20021.4844	-72.927132
20024.4141	-72.404686
20027.3438	-71.846985
20030.2734	-71.269531
20033.2031	-70.686195
20036.1328	-70.090805
20039.0625	-69.467430
20041.9922	-68.832726
20044.9219	-68.194832
20047.8516	-67.518295
20050.7812	-66.805206
20053.7109	-66.078308
20056.6406	-65.314468
20059.5703	-64.485306
20062.5000	-63.583626
20065.4297	-62.623898
20068.3594	-61.601913
20071.2891	-60.493343
20074.2188	-59.276867
