;Freq(Hz)	Relative Amplitude (dB): Left
19412.1094	-73.134132
19415.0391	-73.140381
19417.9688	-73.142807
19420.8984	-73.151909
19423.8281	-73.166588
19426.7578	-73.175522
19429.6875	-73.182137
19432.6172	-73.184509
19435.5469	-73.187683
19438.4766	-73.197098
19441.4062	-73.215057
19444.3359	-73.237663
19447.2656	-73.243134
19450.1953	-73.249237
19453.1250	-73.260033
19456.0547	-73.255890
19458.9844	-73.267296
19461.9141	-73.294922
19464.8438	-73.307907
19467.7734	-73.311150
19470.7031	-73.316895
19473.6328	-73.325058
19476.5625	-73.333412
19479.4922	-73.343803
19482.4219	-73.352898
19485.3516	-73.362885
19488.2812	-73.382484
19491.2109	-73.404373
19494.1406	-73.418327
19497.0703	-73.441818
19500.0000	-73.462074
19502.9297	-73.454407
19505.8594	-73.458374
19508.7891	-73.475891
19511.7188	-73.481010
19514.6484	-73.479103
19517.5781	-73.479538
19520.5078	-73.477112
19523.4375	-73.474144
19526.3672	-73.486969
19529.2969	-73.504684
19532.2266	-73.512398
19535.1562	-73.509140
19538.0859	-73.513245
19541.0156	-73.530396
19543.9453	-73.538231
19546.8750	-73.538620
19549.8047	-73.544083
19552.7344	-73.548035
19555.6641	-73.545151
19558.5938	-73.553085
19561.5234	-73.571449
19564.4531	-73.589706
19567.3828	-73.609756
19570.3125	-73.619148
19573.2422	-73.619453
19576.1719	-73.619057
19579.1016	-73.617760
19582.0312	-73.626892
19584.9609	-73.645386
19587.8906	-73.656258
19590.8203	-73.658958
19593.7500	-73.666496
19596.6797	-73.675400
19599.6094	-73.683403
19602.5391	-73.694626
19605.4688	-73.707718
19608.3984	-73.726578
19611.3281	-73.733574
19614.2578	-73.733406
19617.1875	-73.754066
19620.1172	-73.777855
19623.0469	-73.791969
19625.9766	-73.799461
19628.9062	-73.804680
19631.8359	-73.819748
19634.7656	-73.839066
19637.6953	-73.850540
19640.6250	-73.872383
19643.5547	-73.892746
19646.4844	-73.888748
19649.4141	-73.892059
19652.3438	-73.921371
19655.2734	-73.943291
19658.2031	-73.948723
19661.1328	-73.962883
19664.0625	-73.971184
19666.9922	-73.985046
19669.9219	-74.011543
19672.8516	-74.028961
19675.7812	-74.034195
19678.7109	-74.039040
19681.6406	-74.051186
19684.5703	-74.059486
19687.5000	-74.065407
19690.4297	-74.067078
19693.3594	-74.068260
19696.2891	-74.083733
19699.2188	-74.094116
19702.1484	-74.092957
19705.0781	-74.095001
19708.0078	-74.104271
19710.9375	-74.125069
19713.8672	-74.144455
19716.7969	-74.152885
19719.7266	-74.158821
19722.6562	-74.171928
19725.5859	-74.185410
19728.5156	-74.192482
19731.4453	-74.205124
19734.3750	-74.219215
19737.3047	-74.231621
19740.2344	-74.245323
19743.1641	-74.254997
19746.0938	-74.264236
19749.0234	-74.275185
19751.9531	-74.295219
19754.8828	-74.321060
19757.8125	-74.336250
19760.7422	-74.342972
19763.6719	-74.349770
19766.6016	-74.364441
19769.5312	-74.388306
19772.4609	-74.410179
19775.3906	-74.430275
19778.3203	-74.445236
19781.2500	-74.445221
19784.1797	-74.450577
19787.1094	-74.471138
19790.0391	-74.482010
19792.9688	-74.493195
19795.8984	-74.506531
19798.8281	-74.512451
19801.7578	-74.534607
19804.6875	-74.557426
19807.6172	-74.573883
19810.5469	-74.597916
19813.4766	-74.617943
19816.4062	-74.633026
19819.3359	-74.647324
19822.2656	-74.667603
19825.1953	-74.697578
19828.1250	-74.724785
19831.0547	-74.742706
19833.9844	-74.749672
19836.9141	-74.761673
19839.8438	-74.788490
19842.7734	-74.816666
19845.7031	-74.838570
19848.6328	-74.857140
19851.5625	-74.880890
19854.4922	-74.893997
19857.4219	-74.912872
19860.3516	-74.932007
19863.2812	-74.947594
19866.2109	-74.961243
19869.1406	-74.974258
19872.0703	-74.982750
19875.0000	-75.004097
19877.9297	-75.032936
19880.8594	-75.038895
19883.7891	-75.046379
19886.7188	-75.062675
19889.6484	-75.081604
19892.5781	-75.101349
