;Freq(Hz)	Relative Amplitude (dB): Left
19412.1094	-138.910706
19415.0391	-140.812195
19417.9688	-139.962158
19420.8984	-137.758774
19423.8281	-133.729660
19426.7578	-134.758789
19429.6875	-137.999908
19432.6172	-127.979561
19435.5469	-125.186836
19438.4766	-128.279678
19441.4062	-133.516190
19444.3359	-131.120056
19447.2656	-136.191376
19450.1953	-137.251709
19453.1250	-136.004990
19456.0547	-127.741798
19458.9844	-127.813515
19461.9141	-128.858261
19464.8438	-126.084953
19467.7734	-136.826981
19470.7031	-136.699875
19473.6328	-146.185547
19476.5625	-131.323669
19479.4922	-132.389465
19482.4219	-139.300385
19485.3516	-139.383194
19488.2812	-145.338196
19491.2109	-132.785843
19494.1406	-136.539749
19497.0703	-129.145691
19500.0000	-123.877357
19502.9297	-135.670502
19505.8594	-130.729141
19508.7891	-135.294357
19511.7188	-132.761368
19514.6484	-135.749130
19517.5781	-133.458008
19520.5078	-135.041595
19523.4375	-138.898972
19526.3672	-140.763550
19529.2969	-138.289230
19532.2266	-133.843628
19535.1562	-130.141785
19538.0859	-129.493805
19541.0156	-130.994751
19543.9453	-133.941162
19546.8750	-138.202225
19549.8047	-137.222519
19552.7344	-131.549545
19555.6641	-128.769592
19558.5938	-124.830284
19561.5234	-132.332016
19564.4531	-129.517685
19567.3828	-133.450882
19570.3125	-151.164505
19573.2422	-133.257385
19576.1719	-145.075378
19579.1016	-130.338760
19582.0312	-138.995697
19584.9609	-142.023651
19587.8906	-147.100540
19590.8203	-130.434479
19593.7500	-126.812408
19596.6797	-126.926010
19599.6094	-128.585602
19602.5391	-136.175690
19605.4688	-131.717590
19608.3984	-133.778473
19611.3281	-132.772110
19614.2578	-134.250763
19617.1875	-140.138733
19620.1172	-145.027786
19623.0469	-138.141937
19625.9766	-138.558838
19628.9062	-137.410828
19631.8359	-149.943451
19634.7656	-134.606369
19637.6953	-139.072205
19640.6250	-140.885254
19643.5547	-137.127823
19646.4844	-136.668610
19649.4141	-131.280563
19652.3438	-132.510742
19655.2734	-146.548904
19658.2031	-140.274734
19661.1328	-148.020584
19664.0625	-149.500809
19666.9922	-147.926544
19669.9219	-144.600647
19672.8516	-132.699951
19675.7812	-136.775360
19678.7109	-127.165329
19681.6406	-125.283920
19684.5703	-125.700584
19687.5000	-128.239655
19690.4297	-132.587311
19693.3594	-129.758987
19696.2891	-128.220169
19699.2188	-129.011917
19702.1484	-136.431259
19705.0781	-154.393723
19708.0078	-141.231461
19710.9375	-141.799744
19713.8672	-143.033173
19716.7969	-140.361252
19719.7266	-135.218430
19722.6562	-143.120422
19725.5859	-131.793564
19728.5156	-133.263794
19731.4453	-135.070709
19734.3750	-131.951279
19737.3047	-128.485291
19740.2344	-129.286057
19743.1641	-135.361816
19746.0938	-133.655426
19749.0234	-127.170319
19751.9531	-128.316208
19754.8828	-131.646393
19757.8125	-135.517105
19760.7422	-133.123245
19763.6719	-129.236786
19766.6016	-134.718903
19769.5312	-128.326492
19772.4609	-123.897720
19775.3906	-125.417946
19778.3203	-126.653801
19781.2500	-132.378677
19784.1797	-133.665085
19787.1094	-133.925629
19790.0391	-132.984161
19792.9688	-132.541946
19795.8984	-128.978043
19798.8281	-122.398674
19801.7578	-130.370468
19804.6875	-127.842880
19807.6172	-132.231049
19810.5469	-132.064255
19813.4766	-154.067322
19816.4062	-138.906754
19819.3359	-138.527222
19822.2656	-138.261551
19825.1953	-143.581177
19828.1250	-132.823349
19831.0547	-129.427628
19833.9844	-131.750992
19836.9141	-133.406860
19839.8438	-133.005402
19842.7734	-136.792603
19845.7031	-126.750069
19848.6328	-132.618820
19851.5625	-136.688904
19854.4922	-152.624924
19857.4219	-135.358307
19860.3516	-138.949188
19863.2812	-141.984238
19866.2109	-127.490517
19869.1406	-124.124748
19872.0703	-127.600311
19875.0000	-132.066803
19877.9297	-128.624893
19880.8594	-126.947342
19883.7891	-132.023285
19886.7188	-135.577011
19889.6484	-131.997986
19892.5781	-130.166428
19895.5078	-127.667839
19898.4375	-127.612701
19901.3672	-128.154724
19904.2969	-132.134277
19907.2266	-129.736664
19910.1562	-134.855972
19913.0859	-132.770325
19916.0156	-135.201233
19918.9453	-128.917740
19921.8750	-125.378296
19924.8047	-133.366760
19927.7344	-141.769882
19930.6641	-128.057693
19933.5938	-128.547195
19936.5234	-133.267517
19939.4531	-135.259171
19942.3828	-150.356033
19945.3125	-138.862915
19948.2422	-132.123093
19951.1719	-130.410690
19954.1016	-126.536659
19957.0312	-126.123009
19959.9609	-128.311584
19962.8906	-142.010895
19965.8203	-138.662231
19968.7500	-131.043671
19971.6797	-129.840958
19974.6094	-132.090195
19977.5391	-127.242622
19980.4688	-129.003601
19983.3984	-137.229126
19986.3281	-132.196228
19989.2578	-132.106384
19992.1875	-135.880051
19995.1172	-134.117386
19998.0469	-134.918671
20000.9766	-126.499214
20003.9062	-126.654549
20006.8359	-131.363663
20009.7656	-142.666306
20012.6953	-133.925201
20015.6250	-132.838348
20018.5547	-131.023102
20021.4844	-142.462860
20024.4141	-128.312225
20027.3438	-125.687065
20030.2734	-126.181686
20033.2031	-130.478500
20036.1328	-129.211578
20039.0625	-131.673721
20041.9922	-128.116302
20044.9219	-126.873558
20047.8516	-134.748856
20050.7812	-135.498856
20053.7109	-131.763443
20056.6406	-128.464996
20059.5703	-131.983551
20062.5000	-130.177078
20065.4297	-132.115585
20068.3594	-138.001160
20071.2891	-143.918198
20074.2188	-133.731461
20077.1484	-131.300949
20080.0781	-139.133606
20083.0078	-145.241379
20085.9375	-139.279297
20088.8672	-133.791016
20091.7969	-130.635620
20094.7266	-130.600342
20097.6562	-123.830154
20100.5859	-121.434708
20103.5156	-125.626778
20106.4453	-131.013428
20109.3750	-132.090942
20112.3047	-135.746399
20115.2344	-137.332703
20118.1641	-133.539139
20121.0938	-133.218872
20124.0234	-139.050964
20126.9531	-140.900085
20129.8828	-135.877411
20132.8125	-130.281311
20135.7422	-128.585220
20138.6719	-139.676010
20141.6016	-138.185776
20144.5312	-139.137115
20147.4609	-130.963577
20150.3906	-125.572838
20153.3203	-125.272697
20156.2500	-129.636795
20159.1797	-129.575623
20162.1094	-127.277946
20165.0391	-127.346893
20167.9688	-134.611542
20170.8984	-132.147812
20173.8281	-134.151337
20176.7578	-141.135880
20179.6875	-137.400040
20182.6172	-131.810410
20185.5469	-133.529648
20188.4766	-130.836334
20191.4062	-129.678955
20194.3359	-142.284180
20197.2656	-133.542526
20200.1953	-132.243408
20203.1250	-145.974991
20206.0547	-131.829010
20208.9844	-142.744293
20211.9141	-133.187286
20214.8438	-133.239014
20217.7734	-135.026321
20220.7031	-141.707428
20223.6328	-141.869064
20226.5625	-142.287216
20229.4922	-147.973328
20232.4219	-137.438965
20235.3516	-144.378937
