;Freq(Hz)	Relative Amplitude (dB): Left
19502.9297	-72.395454
19505.8594	-72.417427
19508.7891	-72.418060
19511.7188	-72.418228
19514.6484	-72.440498
19517.5781	-72.459084
19520.5078	-72.471138
19523.4375	-72.501526
19526.3672	-72.531738
19529.2969	-72.552513
19532.2266	-72.569656
19535.1562	-72.573402
19538.0859	-72.573570
19541.0156	-72.581367
19543.9453	-72.587349
19546.8750	-72.583336
19549.8047	-72.588280
19552.7344	-72.598816
19555.6641	-72.603271
19558.5938	-72.616264
19561.5234	-72.631859
19564.4531	-72.642174
19567.3828	-72.653282
19570.3125	-72.663803
19573.2422	-72.677414
19576.1719	-72.692101
19579.1016	-72.694458
19582.0312	-72.686050
19584.9609	-72.687790
19587.8906	-72.700127
19590.8203	-72.714386
19593.7500	-72.729736
19596.6797	-72.748344
19599.6094	-72.762405
19602.5391	-72.769432
19605.4688	-72.787979
19608.3984	-72.814758
19611.3281	-72.830894
19614.2578	-72.835136
19617.1875	-72.840836
19620.1172	-72.856560
19623.0469	-72.865913
19625.9766	-72.872169
19628.9062	-72.900955
19631.8359	-72.933357
19634.7656	-72.943359
19637.6953	-72.951408
19640.6250	-72.972313
19643.5547	-72.991188
19646.4844	-72.997444
19649.4141	-73.007469
19652.3438	-73.030182
19655.2734	-73.052895
19658.2031	-73.065208
19661.1328	-73.074570
19664.0625	-73.097092
19666.9922	-73.116844
19669.9219	-73.123634
19672.8516	-73.135292
19675.7812	-73.151260
19678.7109	-73.167213
19681.6406	-73.181244
19684.5703	-73.190109
19687.5000	-73.206757
19690.4297	-73.227661
19693.3594	-73.230583
19696.2891	-73.229599
19699.2188	-73.246193
19702.1484	-73.273590
19705.0781	-73.289062
19708.0078	-73.289940
19710.9375	-73.305786
19713.8672	-73.338165
19716.7969	-73.361435
19719.7266	-73.371292
19722.6562	-73.384232
19725.5859	-73.398247
19728.5156	-73.413467
19731.4453	-73.431442
19734.3750	-73.443192
19737.3047	-73.462402
19740.2344	-73.479324
19743.1641	-73.489540
19746.0938	-73.511978
19749.0234	-73.543213
19751.9531	-73.569977
19754.8828	-73.584137
19757.8125	-73.599525
19760.7422	-73.630333
19763.6719	-73.656944
19766.6016	-73.674019
19769.5312	-73.695099
19772.4609	-73.717567
19775.3906	-73.738998
19778.3203	-73.762276
19781.2500	-73.783371
19784.1797	-73.801208
19787.1094	-73.821350
19790.0391	-73.847275
19792.9688	-73.875435
19795.8984	-73.892181
19798.8281	-73.897430
19801.7578	-73.908768
19804.6875	-73.926285
19807.6172	-73.946785
19810.5469	-73.970222
19813.4766	-73.987038
19816.4062	-73.995308
19819.3359	-74.012093
19822.2656	-74.023468
19825.1953	-74.033203
19828.1250	-74.052345
19831.0547	-74.066727
19833.9844	-74.084221
19836.9141	-74.119942
19839.8438	-74.155289
19842.7734	-74.163933
19845.7031	-74.168678
19848.6328	-74.191917
19851.5625	-74.218399
19854.4922	-74.236305
19857.4219	-74.253357
19860.3516	-74.282578
19863.2812	-74.310699
19866.2109	-74.325478
19869.1406	-74.346077
19872.0703	-74.367493
19875.0000	-74.383194
19877.9297	-74.404762
19880.8594	-74.428169
19883.7891	-74.461197
19886.7188	-74.490761
19889.6484	-74.502174
19892.5781	-74.518654
19895.5078	-74.548950
19898.4375	-74.582047
19901.3672	-74.607445
19904.2969	-74.633789
19907.2266	-74.664604
19910.1562	-74.692062
19913.0859	-74.716995
19916.0156	-74.747108
19918.9453	-74.781837
19921.8750	-74.807373
19924.8047	-74.828949
19927.7344	-74.854813
19930.6641	-74.883598
19933.5938	-74.913399
19936.5234	-74.942947
19939.4531	-74.973427
19942.3828	-74.998344
19945.3125	-75.022308
19948.2422	-75.048439
19951.1719	-75.073593
19954.1016	-75.107468
19957.0312	-75.142754
19959.9609	-75.177673
19962.8906	-75.211990
19965.8203	-75.238655
19968.7500	-75.272903
19971.6797	-75.317017
19974.6094	-75.355431
19977.5391	-75.388191
19980.4688	-75.423325
19983.3984	-75.454781
19986.3281	-75.478958
19989.2578	-75.504677
19992.1875	-75.539772
19995.1172	-75.581245
19998.0469	-75.618851
20000.9766	-75.649620
20003.9062	-75.685280
20006.8359	-75.727943
20009.7656	-75.762917
20012.6953	-75.793510
20015.6250	-75.828522
20018.5547	-75.874451
20021.4844	-75.920471
20024.4141	-75.963066
20027.3438	-76.013687
