;Freq(Hz)	Relative Amplitude (dB): Left
19502.9297	-69.627197
19505.8594	-69.647820
19508.7891	-69.668930
19511.7188	-69.687439
19514.6484	-69.699234
19517.5781	-69.712891
19520.5078	-69.738548
19523.4375	-69.769623
19526.3672	-69.789124
19529.2969	-69.802422
19532.2266	-69.820564
19535.1562	-69.840759
19538.0859	-69.857979
19541.0156	-69.870193
19543.9453	-69.882317
19546.8750	-69.895699
19549.8047	-69.906776
19552.7344	-69.914734
19555.6641	-69.926201
19558.5938	-69.934052
19561.5234	-69.945839
19564.4531	-69.961838
19567.3828	-69.973152
19570.3125	-69.982796
19573.2422	-69.990982
19576.1719	-70.007080
19579.1016	-70.022766
19582.0312	-70.028534
19584.9609	-70.037338
19587.8906	-70.051437
19590.8203	-70.068336
19593.7500	-70.088287
19596.6797	-70.105675
19599.6094	-70.122200
19602.5391	-70.139198
19605.4688	-70.156799
19608.3984	-70.175255
19611.3281	-70.195457
19614.2578	-70.214073
19617.1875	-70.229614
19620.1172	-70.245018
19623.0469	-70.258308
19625.9766	-70.276390
19628.9062	-70.297035
19631.8359	-70.318848
19634.7656	-70.347664
19637.6953	-70.371994
19640.6250	-70.390694
19643.5547	-70.412872
19646.4844	-70.436760
19649.4141	-70.460609
19652.3438	-70.476479
19655.2734	-70.486938
19658.2031	-70.508827
19661.1328	-70.533531
19664.0625	-70.552429
19666.9922	-70.571930
19669.9219	-70.596420
19672.8516	-70.628029
19675.7812	-70.657349
19678.7109	-70.676247
19681.6406	-70.694519
19684.5703	-70.715622
19687.5000	-70.734917
19690.4297	-70.752991
19693.3594	-70.778320
19696.2891	-70.802757
19699.2188	-70.820709
19702.1484	-70.847740
19705.0781	-70.875099
19708.0078	-70.899376
19710.9375	-70.917816
19713.8672	-70.931267
19716.7969	-70.942223
19719.7266	-70.955414
19722.6562	-70.975060
19725.5859	-70.994072
19728.5156	-71.009918
19731.4453	-71.023598
19734.3750	-71.038589
19737.3047	-71.059837
19740.2344	-71.082481
19743.1641	-71.099396
19746.0938	-71.117401
19749.0234	-71.138611
19751.9531	-71.160645
19754.8828	-71.182884
19757.8125	-71.202377
19760.7422	-71.229355
19763.6719	-71.251785
19766.6016	-71.262627
19769.5312	-71.283012
19772.4609	-71.309959
19775.3906	-71.333893
19778.3203	-71.357712
19781.2500	-71.380165
19784.1797	-71.395226
19787.1094	-71.408653
19790.0391	-71.435806
19792.9688	-71.466957
19795.8984	-71.489174
19798.8281	-71.512352
19801.7578	-71.538109
19804.6875	-71.560493
19807.6172	-71.580482
19810.5469	-71.606209
19813.4766	-71.639694
19816.4062	-71.673515
19819.3359	-71.704880
19822.2656	-71.730743
19825.1953	-71.752975
19828.1250	-71.781898
19831.0547	-71.818146
19833.9844	-71.851936
19836.9141	-71.874733
19839.8438	-71.894806
19842.7734	-71.921181
19845.7031	-71.955681
19848.6328	-71.995209
19851.5625	-72.023163
19854.4922	-72.047432
19857.4219	-72.082794
19860.3516	-72.121513
19863.2812	-72.152069
19866.2109	-72.177933
19869.1406	-72.207962
19872.0703	-72.241196
19875.0000	-72.277946
19877.9297	-72.314163
19880.8594	-72.344025
19883.7891	-72.371162
19886.7188	-72.399727
19889.6484	-72.427513
19892.5781	-72.459831
19895.5078	-72.492783
19898.4375	-72.517006
19901.3672	-72.538803
19904.2969	-72.563736
19907.2266	-72.590958
19910.1562	-72.617661
19913.0859	-72.640709
19916.0156	-72.660599
19918.9453	-72.693550
19921.8750	-72.738945
19924.8047	-72.774406
19927.7344	-72.804184
19930.6641	-72.838364
19933.5938	-72.870667
19936.5234	-72.901649
19939.4531	-72.934914
