;Freq(Hz)	Relative Amplitude (dB): Left
18339.8438	-94.703812
18342.7734	-94.777657
18345.7031	-94.964516
18348.6328	-94.913940
18351.5625	-94.743179
18354.4922	-94.713440
18357.4219	-94.770203
18360.3516	-94.871300
18363.2812	-94.896263
18366.2109	-94.798912
18369.1406	-94.792435
18372.0703	-94.881676
18375.0000	-94.891518
18377.9297	-94.832108
18380.8594	-94.816376
18383.7891	-94.864876
18386.7188	-94.908127
18389.6484	-94.928993
18392.5781	-95.012550
18395.5078	-95.131081
18398.4375	-95.134789
18401.3672	-95.042549
18404.2969	-95.048134
18407.2266	-95.126671
18410.1562	-95.107330
18413.0859	-95.052124
18416.0156	-95.020782
18418.9453	-95.050453
18421.8750	-95.126686
18424.8047	-95.123642
18427.7344	-95.132416
18430.6641	-95.158783
18433.5938	-95.074196
18436.5234	-95.066635
18439.4531	-95.167145
18442.3828	-95.209473
18445.3125	-95.210167
18448.2422	-95.174950
18451.1719	-95.200348
18454.1016	-95.280251
18457.0312	-95.314194
18459.9609	-95.230225
18462.8906	-95.135841
18465.8203	-95.181389
18468.7500	-95.242668
18471.6797	-95.241524
18474.6094	-95.214531
18477.5391	-95.267532
18480.4688	-95.319168
18483.3984	-95.272514
18486.3281	-95.308258
18489.2578	-95.397491
18492.1875	-95.429321
18495.1172	-95.468361
18498.0469	-95.436188
18500.9766	-95.320915
18503.9062	-95.302742
18506.8359	-95.485985
18509.7656	-95.617973
18512.6953	-95.539940
18515.6250	-95.464912
18518.5547	-95.512947
18521.4844	-95.554733
18524.4141	-95.588692
18527.3438	-95.671524
18530.2734	-95.714050
18533.2031	-95.593964
18536.1328	-95.473869
18539.0625	-95.531387
18541.9922	-95.602661
18544.9219	-95.569130
18547.8516	-95.577560
18550.7812	-95.621140
18553.7109	-95.604393
18556.6406	-95.484879
18559.5703	-95.487930
18562.5000	-95.634430
18565.4297	-95.684929
18568.3594	-95.657349
18571.2891	-95.670563
18574.2188	-95.723808
18577.1484	-95.806503
18580.0781	-95.833092
18583.0078	-95.756424
18585.9375	-95.807617
18588.8672	-95.882538
18591.7969	-95.838531
18594.7266	-95.855339
18597.6562	-95.847816
18600.5859	-95.790955
18603.5156	-95.826286
18606.4453	-95.860680
18609.3750	-95.923203
18612.3047	-96.018211
18615.2344	-96.012932
18618.1641	-95.995453
18621.0938	-95.954536
18624.0234	-95.901367
18626.9531	-95.935715
18629.8828	-95.978325
18632.8125	-96.017632
18635.7422	-95.953239
18638.6719	-95.908508
18641.6016	-96.037529
18644.5312	-96.176781
18647.4609	-96.189674
18650.3906	-96.163849
18653.3203	-96.161659
18656.2500	-96.162628
18659.1797	-96.193176
18662.1094	-96.180214
18665.0391	-96.072174
18667.9688	-95.996666
18670.8984	-96.073792
18673.8281	-96.159225
18676.7578	-96.097801
18679.6875	-96.082100
18682.6172	-96.170135
18685.5469	-96.259056
18688.4766	-96.382263
18691.4062	-96.482498
18694.3359	-96.492249
18697.2656	-96.475777
18700.1953	-96.382019
18703.1250	-96.256783
18706.0547	-96.271019
18708.9844	-96.394661
18711.9141	-96.491631
18714.8438	-96.499268
18717.7734	-96.452942
18720.7031	-96.446678
18723.6328	-96.523857
18726.5625	-96.520943
18729.4922	-96.468346
18732.4219	-96.565674
18735.3516	-96.640007
18738.2812	-96.623100
18741.2109	-96.641510
18744.1406	-96.653061
18747.0703	-96.671478
18750.0000	-96.711159
18752.9297	-96.736084
18755.8594	-96.735558
18758.7891	-96.675682
18761.7188	-96.620102
18764.6484	-96.705475
18767.5781	-96.809517
18770.5078	-96.748245
18773.4375	-96.775566
18776.3672	-96.905998
18779.2969	-96.899902
18782.2266	-96.873955
18785.1562	-96.991135
18788.0859	-97.051682
18791.0156	-96.878471
18793.9453	-96.849289
18796.8750	-96.922539
18799.8047	-96.886330
18802.7344	-96.963303
18805.6641	-97.109985
18808.5938	-97.058327
18811.5234	-96.877922
18814.4531	-96.928841
18817.3828	-97.106232
18820.3125	-97.102264
18823.2422	-97.092300
18826.1719	-97.129929
18829.1016	-97.151268
18832.0312	-97.251015
18834.9609	-97.314018
18837.8906	-97.281387
18840.8203	-97.286133
18843.7500	-97.313309
18846.6797	-97.268303
18849.6094	-97.242271
18852.5391	-97.268990
18855.4688	-97.309288
18858.3984	-97.344566
18861.3281	-97.317192
18864.2578	-97.371307
18867.1875	-97.406815
18870.1172	-97.343796
18873.0469	-97.387436
18875.9766	-97.482536
18878.9062	-97.554413
18881.8359	-97.443642
18884.7656	-97.350113
18887.6953	-97.501106
18890.6250	-97.640381
18893.5547	-97.578560
18896.4844	-97.473747
18899.4141	-97.605774
18902.3438	-97.803467
18905.2734	-97.781326
18908.2031	-97.694038
18911.1328	-97.754295
18914.0625	-97.832100
