;Freq(Hz)	Relative Amplitude (dB): Left
18410.1562	-91.469994
18413.0859	-91.530022
18416.0156	-91.549316
18418.9453	-91.535912
18421.8750	-91.488472
18424.8047	-91.463470
18427.7344	-91.507210
18430.6641	-91.596275
18433.5938	-91.657265
18436.5234	-91.632439
18439.4531	-91.628448
18442.3828	-91.680145
18445.3125	-91.697952
18448.2422	-91.736061
18451.1719	-91.734924
18454.1016	-91.675438
18457.0312	-91.650322
18459.9609	-91.635025
18462.8906	-91.628365
18465.8203	-91.647240
18468.7500	-91.714470
18471.6797	-91.716583
18474.6094	-91.687988
18477.5391	-91.739441
18480.4688	-91.779114
18483.3984	-91.784180
18486.3281	-91.756378
18489.2578	-91.759613
18492.1875	-91.819588
18495.1172	-91.853065
18498.0469	-91.917557
18500.9766	-91.953102
18503.9062	-91.909355
18506.8359	-91.907600
18509.7656	-91.928406
18512.6953	-91.903809
18515.6250	-91.883339
18518.5547	-91.921532
18521.4844	-91.964409
18524.4141	-92.024445
18527.3438	-92.087769
18530.2734	-92.072884
18533.2031	-92.065331
18536.1328	-92.113480
18539.0625	-92.180351
18541.9922	-92.195038
18544.9219	-92.127350
18547.8516	-92.078888
18550.7812	-92.083366
18553.7109	-92.118408
18556.6406	-92.197861
18559.5703	-92.305962
18562.5000	-92.340950
18565.4297	-92.274704
18568.3594	-92.228523
18571.2891	-92.235832
18574.2188	-92.269089
18577.1484	-92.295364
18580.0781	-92.316391
18583.0078	-92.399452
18585.9375	-92.444244
18588.8672	-92.420036
18591.7969	-92.420792
18594.7266	-92.405586
18597.6562	-92.366028
18600.5859	-92.398575
18603.5156	-92.468895
18606.4453	-92.488976
18609.3750	-92.500931
18612.3047	-92.492912
18615.2344	-92.485481
18618.1641	-92.542435
18621.0938	-92.591888
18624.0234	-92.627617
18626.9531	-92.633621
18629.8828	-92.608185
18632.8125	-92.654137
18635.7422	-92.705864
18638.6719	-92.712891
18641.6016	-92.757256
18644.5312	-92.797050
18647.4609	-92.726479
18650.3906	-92.703636
18653.3203	-92.797836
18656.2500	-92.813232
18659.1797	-92.834503
18662.1094	-92.905350
18665.0391	-92.925903
18667.9688	-92.955215
