;Freq(Hz)	Relative Amplitude (dB): Left
14293.9453	-91.177292
14296.8750	-91.061836
14299.8047	-91.055862
14302.7344	-91.003021
14305.6641	-90.898331
14308.5938	-90.941719
14311.5234	-91.140579
14314.4531	-91.396095
14317.3828	-91.484543
14320.3125	-91.397575
14323.2422	-91.372765
14326.1719	-91.344032
14329.1016	-91.261719
14332.0312	-91.333054
14334.9609	-91.479042
14337.8906	-91.544220
14340.8203	-91.646019
14343.7500	-91.758904
14346.6797	-91.812469
14349.6094	-91.794624
14352.5391	-91.849358
14355.4688	-92.001106
14358.3984	-92.051979
14361.3281	-92.146912
14364.2578	-92.173759
14367.1875	-92.104912
14370.1172	-92.209496
14373.0469	-92.277733
14375.9766	-92.276253
14378.9062	-92.341637
14381.8359	-92.287193
14384.7656	-92.321640
14387.6953	-92.463898
14390.6250	-92.381187
14393.5547	-92.238312
14396.4844	-92.399696
14399.4141	-92.676437
14402.3438	-92.581276
14405.2734	-92.484833
14408.2031	-92.700760
14411.1328	-92.823410
14414.0625	-92.852234
14416.9922	-92.870667
14419.9219	-92.901886
14422.8516	-93.134445
14425.7812	-93.193039
14428.7109	-93.090401
14431.6406	-93.318680
14434.5703	-93.463852
14437.5000	-93.292732
14440.4297	-93.260902
14443.3594	-93.367020
14446.2891	-93.372055
14449.2188	-93.303871
14452.1484	-93.410797
14455.0781	-93.707352
14458.0078	-93.768837
14460.9375	-93.714935
14463.8672	-93.868263
14466.7969	-94.006393
14469.7266	-93.984169
14472.6562	-94.186203
14475.5859	-94.468681
14478.5156	-94.405663
14481.4453	-94.241753
14484.3750	-94.379120
14487.3047	-94.504105
14490.2344	-94.573593
14493.1641	-94.935066
14496.0938	-95.107483
14499.0234	-94.920815
14501.9531	-94.938499
14504.8828	-94.983696
14507.8125	-95.070862
14510.7422	-95.267647
14513.6719	-95.315666
14516.6016	-95.243469
14519.5312	-95.194878
14522.4609	-95.313004
14525.3906	-95.263229
14528.3203	-95.339966
14531.2500	-95.850533
14534.1797	-96.005882
14537.1094	-95.871964
14540.0391	-95.921646
14542.9688	-95.825844
14545.8984	-95.640205
14548.8281	-95.882935
14551.7578	-96.154770
14554.6875	-96.377975
14557.6172	-96.860046
14560.5469	-96.913589
14563.4766	-96.906837
14566.4062	-96.987686
14569.3359	-97.117210
14572.2656	-97.338303
14575.1953	-97.438438
14578.1250	-97.335678
14581.0547	-97.067451
14583.9844	-97.188530
14586.9141	-97.539299
14589.8438	-97.952171
14592.7734	-98.399887
14595.7031	-98.609055
14598.6328	-98.316093
14601.5625	-97.965408
14604.4922	-98.362862
14607.4219	-98.848930
14610.3516	-98.743225
14613.2812	-98.972298
14616.2109	-99.324020
14619.1406	-99.068893
14622.0703	-98.977509
14625.0000	-99.576317
14627.9297	-100.137215
14630.8594	-100.352913
14633.7891	-100.367271
14636.7188	-100.250191
14639.6484	-100.627609
14642.5781	-101.531296
14645.5078	-101.905128
14648.4375	-101.459991
14651.3672	-101.454819
14654.2969	-102.085724
14657.2266	-102.434250
14660.1562	-102.731140
14663.0859	-103.015945
14666.0156	-102.825523
14668.9453	-102.818192
14671.8750	-103.201828
14674.8047	-103.577782
14677.7344	-103.771996
14680.6641	-103.968010
14683.5938	-104.029060
14686.5234	-103.854988
14689.4531	-104.017288
14692.3828	-104.122704
14695.3125	-104.747925
14698.2422	-106.346733
14701.1719	-107.574074
14704.1016	-107.859215
14707.0312	-107.433907
14709.9609	-107.946831
14712.8906	-110.159409
14715.8203	-111.119133
14718.7500	-110.140144
14721.6797	-110.601730
14724.6094	-110.951454
14727.5391	-110.419617
14730.4688	-111.302933
14733.3984	-110.667946
14736.3281	-110.066666
14739.2578	-110.879822
14742.1875	-111.734138
14745.1172	-113.728882
14748.0469	-112.615250
14750.9766	-109.111961
14753.9062	-109.052254
14756.8359	-110.514610
14759.7656	-110.397255
14762.6953	-110.755013
14765.6250	-111.509163
14768.5547	-111.074684
14771.4844	-110.825233
14774.4141	-111.823807
14777.3438	-110.993698
14780.2734	-108.370590
14783.2031	-106.897629
14786.1328	-107.552864
14789.0625	-107.598694
14791.9922	-106.358498
14794.9219	-105.930122
14797.8516	-105.788475
14800.7812	-105.781845
14803.7109	-106.090126
14806.6406	-105.002136
14809.5703	-103.545517
14812.5000	-103.161835
14815.4297	-102.742058
14818.3594	-102.357689
14821.2891	-102.310417
14824.2188	-102.143860
14827.1484	-101.520081
14830.0781	-100.784805
14833.0078	-100.141533
14835.9375	-99.876305
14838.8672	-99.649086
14841.7969	-99.296371
14844.7266	-99.110603
14847.6562	-99.211243
14850.5859	-99.564972
14853.5156	-99.447731
14856.4453	-98.258514
14859.3750	-97.273888
14862.3047	-97.564934
14865.2344	-97.954865
14868.1641	-97.577202
14871.0938	-97.235886
14874.0234	-96.902000
14876.9531	-96.540070
14879.8828	-96.353958
14882.8125	-96.112068
14885.7422	-95.808777
14888.6719	-95.604286
14891.6016	-95.545128
14894.5312	-95.511063
14897.4609	-95.164513
14900.3906	-94.734230
14903.3203	-94.487686
14906.2500	-94.205818
14909.1797	-94.197464
14912.1094	-94.106613
14915.0391	-93.694420
14917.9688	-93.587891
14920.8984	-93.599602
14923.8281	-93.520584
14926.7578	-93.243721
14929.6875	-92.919487
14932.6172	-92.664635
14935.5469	-92.295456
14938.4766	-92.120880
14941.4062	-92.220833
14944.3359	-92.121956
14947.2656	-91.871460
14950.1953	-91.678268
14953.1250	-91.470909
14956.0547	-91.254494
14958.9844	-91.102707
14961.9141	-91.101921
14964.8438	-90.990067
14967.7734	-90.682281
14970.7031	-90.500870
14973.6328	-90.343864
14976.5625	-90.130142
14979.4922	-90.029106
14982.4219	-89.931992
14985.3516	-89.618698
14988.2812	-89.350380
14991.2109	-89.281151
14994.1406	-89.230019
14997.0703	-89.129150
15000.0000	-89.003555
15002.9297	-88.812523
15005.8594	-88.579247
15008.7891	-88.433952
15011.7188	-88.274597
15014.6484	-88.025810
15017.5781	-87.843346
15020.5078	-87.740501
15023.4375	-87.579620
15026.3672	-87.374603
15029.2969	-87.295372
15032.2266	-87.279320
15035.1562	-87.138802
15038.0859	-86.881332
15041.0156	-86.662331
15043.9453	-86.603371
15046.8750	-86.519455
15049.8047	-86.340988
15052.7344	-86.222916
15055.6641	-86.114372
15058.5938	-85.934319
15061.5234	-85.773987
15064.4531	-85.556221
15067.3828	-85.383873
15070.3125	-85.312508
15073.2422	-85.172310
15076.1719	-85.022247
15079.1016	-84.893227
15082.0312	-84.748985
15084.9609	-84.588608
15087.8906	-84.356667
15090.8203	-84.173477
15093.7500	-84.122604
15096.6797	-84.037460
15099.6094	-83.876060
15102.5391	-83.744652
15105.4688	-83.566383
15108.3984	-83.367706
15111.3281	-83.264603
15114.2578	-83.137459
15117.1875	-82.953819
15120.1172	-82.808601
15123.0469	-82.704628
15125.9766	-82.580490
15128.9062	-82.445221
15131.8359	-82.324471
15134.7656	-82.175667
15137.6953	-82.027962
15140.6250	-81.854576
15143.5547	-81.669266
15146.4844	-81.534676
15149.4141	-81.392174
15152.3438	-81.240196
15155.2734	-81.115692
15158.2031	-81.035789
15161.1328	-80.937050
15164.0625	-80.807480
15166.9922	-80.657761
15169.9219	-80.413895
15172.8516	-80.207657
15175.7812	-80.103432
15178.7109	-80.005035
15181.6406	-79.894547
15184.5703	-79.764534
15187.5000	-79.605751
15190.4297	-79.474609
15193.3594	-79.342186
15196.2891	-79.189674
15199.2188	-79.036491
15202.1484	-78.883202
15205.0781	-78.733330
15208.0078	-78.591858
15210.9375	-78.460274
15213.8672	-78.312042
15216.7969	-78.148079
15219.7266	-78.003639
15222.6562	-77.838760
15225.5859	-77.674187
15228.5156	-77.551353
15231.4453	-77.410889
15234.3750	-77.237709
15237.3047	-77.062820
15240.2344	-76.880058
15243.1641	-76.698372
15246.0938	-76.544518
15249.0234	-76.401268
15251.9531	-76.237381
15254.8828	-76.066132
15257.8125	-75.893944
15260.7422	-75.701813
15263.6719	-75.548805
15266.6016	-75.399437
15269.5312	-75.180916
15272.4609	-74.980522
15275.3906	-74.830971
15278.3203	-74.642441
15281.2500	-74.421661
15284.1797	-74.238464
15287.1094	-74.043365
15290.0391	-73.853279
15292.9688	-73.679703
15295.8984	-73.476776
15298.8281	-73.271484
15301.7578	-73.063377
15304.6875	-72.850258
15307.6172	-72.639465
15310.5469	-72.407188
15313.4766	-72.158829
15316.4062	-71.928207
15319.3359	-71.715210
15322.2656	-71.479439
15325.1953	-71.221458
15328.1250	-70.978798
15331.0547	-70.749481
15333.9844	-70.504372
15336.9141	-70.254105
15339.8438	-70.007645
15342.7734	-69.749596
15345.7031	-69.497665
15348.6328	-69.232491
15351.5625	-68.959229
15354.4922	-68.707886
15357.4219	-68.427475
15360.3516	-68.116089
15363.2812	-67.818825
15366.2109	-67.514069
15369.1406	-67.178528
15372.0703	-66.844582
15375.0000	-66.506592
15377.9297	-66.151527
15380.8594	-65.797256
15383.7891	-65.426636
15386.7188	-65.040489
15389.6484	-64.648705
15392.5781	-64.235481
15395.5078	-63.807514
15398.4375	-63.365807
15401.3672	-62.887611
15404.2969	-62.394703
15407.2266	-61.901318
15410.1562	-61.374443
15413.0859	-60.814819
15416.0156	-60.238163
15418.9453	-59.629368
15421.8750	-58.988926
15424.8047	-58.337948
15427.7344	-57.671291
15430.6641	-56.982956
15433.5938	-56.280701
15436.5234	-55.579746
15439.4531	-54.921577
15442.3828	-54.338043
15445.3125	-53.866016
15448.2422	-53.552189
15451.1719	-53.404930
15454.1016	-53.413158
15457.0312	-53.636883
15459.9609	-54.049431
15462.8906	-54.565407
15465.8203	-55.141502
15468.7500	-55.748821
15471.6797	-56.369247
15474.6094	-56.996323
15477.5391	-57.619678
15480.4688	-58.231388
15483.3984	-58.816738
15486.3281	-59.360973
15489.2578	-59.873585
15492.1875	-60.363937
15495.1172	-60.838024
15498.0469	-61.296703
15500.9766	-61.722248
15503.9062	-62.139126
15506.8359	-62.556522
15509.7656	-62.929531
15512.6953	-63.276501
15515.6250	-63.618473
15518.5547	-63.951221
15521.4844	-64.263519
15524.4141	-64.567482
15527.3438	-64.860947
15530.2734	-65.120773
15533.2031	-65.376381
15536.1328	-65.648468
15539.0625	-65.905334
15541.9922	-66.146355
15544.9219	-66.380257
15547.8516	-66.602173
15550.7812	-66.820297
15553.7109	-67.043442
15556.6406	-67.261353
15559.5703	-67.464531
15562.5000	-67.656479
15565.4297	-67.848862
15568.3594	-68.040596
15571.2891	-68.215057
15574.2188	-68.390099
15577.1484	-68.565407
15580.0781	-68.739738
15583.0078	-68.916824
15585.9375	-69.073692
15588.8672	-69.224319
15591.7969	-69.382393
15594.7266	-69.541206
15597.6562	-69.694588
15600.5859	-69.826607
15603.5156	-69.970894
15606.4453	-70.135170
15609.3750	-70.262711
15612.3047	-70.367958
15615.2344	-70.492508
15618.1641	-70.627037
15621.0938	-70.769447
15624.0234	-70.911728
15626.9531	-71.025261
15629.8828	-71.145668
15632.8125	-71.280540
15635.7422	-71.389389
15638.6719	-71.480675
15641.6016	-71.574936
15644.5312	-71.684113
15647.4609	-71.787163
15650.3906	-71.884651
15653.3203	-71.977409
15656.2500	-72.060135
15659.1797	-72.170128
15662.1094	-72.282593
15665.0391	-72.367584
15667.9688	-72.453453
15670.8984	-72.549339
15673.8281	-72.635338
15676.7578	-72.725677
15679.6875	-72.816460
15682.6172	-72.893433
15685.5469	-72.965790
15688.4766	-73.036491
15691.4062	-73.109879
15694.3359	-73.189377
15697.2656	-73.271973
15700.1953	-73.351021
15703.1250	-73.437843
15706.0547	-73.520317
15708.9844	-73.608192
15711.9141	-73.697563
15714.8438	-73.762215
15717.7734	-73.839073
15720.7031	-73.921288
15723.6328	-73.985535
15726.5625	-74.069878
15729.4922	-74.145081
15732.4219	-74.180199
15735.3516	-74.244987
15738.2812	-74.326569
15741.2109	-74.390053
15744.1406	-74.465103
15747.0703	-74.542671
15750.0000	-74.622528
15752.9297	-74.703072
15755.8594	-74.755455
15758.7891	-74.785027
15761.7188	-74.846970
15764.6484	-74.924797
15767.5781	-74.950851
15770.5078	-75.014961
15773.4375	-75.131340
15776.3672	-75.178459
15779.2969	-75.204102
15782.2266	-75.263046
15785.1562	-75.322304
15788.0859	-75.367126
15791.0156	-75.412193
15793.9453	-75.462151
15796.8750	-75.485336
15799.8047	-75.525543
15802.7344	-75.604263
15805.6641	-75.668213
15808.5938	-75.706146
15811.5234	-75.727371
15814.4531	-75.775276
15817.3828	-75.857063
15820.3125	-75.916595
15823.2422	-75.950882
15826.1719	-75.998558
15829.1016	-76.074974
15832.0312	-76.133026
15834.9609	-76.160316
15837.8906	-76.210518
15840.8203	-76.294907
