;Freq(Hz)	Relative Amplitude (dB): Left
18407.2266	-87.375130
18410.1562	-87.370728
18413.0859	-87.340958
18416.0156	-87.348465
18418.9453	-87.372330
18421.8750	-87.382690
18424.8047	-87.404930
18427.7344	-87.410004
18430.6641	-87.369247
18433.5938	-87.359772
18436.5234	-87.366386
18439.4531	-87.358803
18442.3828	-87.389404
18445.3125	-87.437164
18448.2422	-87.441055
18451.1719	-87.432648
18454.1016	-87.433640
18457.0312	-87.444405
18459.9609	-87.464043
18462.8906	-87.449066
18465.8203	-87.431328
18468.7500	-87.440926
18471.6797	-87.446495
18474.6094	-87.438042
18477.5391	-87.388916
18480.4688	-87.361633
18483.3984	-87.423111
18486.3281	-87.484337
18489.2578	-87.474167
18492.1875	-87.482849
18495.1172	-87.566002
18498.0469	-87.541862
18500.9766	-87.460304
18503.9062	-87.486221
18506.8359	-87.494064
18509.7656	-87.489845
18512.6953	-87.519333
18515.6250	-87.495018
18518.5547	-87.475395
18521.4844	-87.493324
18524.4141	-87.500023
18527.3438	-87.519867
18530.2734	-87.513802
18533.2031	-87.487579
18536.1328	-87.492752
18539.0625	-87.494400
18541.9922	-87.518127
18544.9219	-87.553261
18547.8516	-87.542824
18550.7812	-87.543694
18553.7109	-87.591866
18556.6406	-87.603539
18559.5703	-87.577278
18562.5000	-87.575325
18565.4297	-87.573288
18568.3594	-87.541885
18571.2891	-87.527863
18574.2188	-87.555229
18577.1484	-87.575348
18580.0781	-87.563194
18583.0078	-87.562813
18585.9375	-87.570290
18588.8672	-87.563065
18591.7969	-87.581329
18594.7266	-87.632462
18597.6562	-87.620834
18600.5859	-87.569908
18603.5156	-87.556038
18606.4453	-87.556618
18609.3750	-87.570305
18612.3047	-87.598831
18615.2344	-87.637680
18618.1641	-87.663200
18621.0938	-87.671890
18624.0234	-87.669647
18626.9531	-87.657600
18629.8828	-87.662834
18632.8125	-87.665588
18635.7422	-87.679352
18638.6719	-87.711372
18641.6016	-87.726784
18644.5312	-87.771065
18647.4609	-87.796021
18650.3906	-87.786499
18653.3203	-87.812653
18656.2500	-87.794098
18659.1797	-87.729301
18662.1094	-87.707817
18665.0391	-87.724998
18667.9688	-87.743042
18670.8984	-87.751022
18673.8281	-87.758881
18676.7578	-87.768318
18679.6875	-87.798874
18682.6172	-87.823242
18685.5469	-87.821709
18688.4766	-87.843643
18691.4062	-87.832100
18694.3359	-87.742554
18697.2656	-87.765297
18700.1953	-87.830017
18703.1250	-87.798477
18706.0547	-87.794083
18708.9844	-87.820496
18711.9141	-87.836449
18714.8438	-87.853302
18717.7734	-87.835098
18720.7031	-87.807838
18723.6328	-87.832077
18726.5625	-87.866028
18729.4922	-87.829346
18732.4219	-87.790977
18735.3516	-87.798874
18738.2812	-87.775230
18741.2109	-87.778389
18744.1406	-87.852760
18747.0703	-87.871536
18750.0000	-87.851143
18752.9297	-87.872292
18755.8594	-87.878014
18758.7891	-87.884888
18761.7188	-87.911285
18764.6484	-87.904694
18767.5781	-87.901108
18770.5078	-87.926003
18773.4375	-87.935493
18776.3672	-87.934891
18779.2969	-87.943779
18782.2266	-87.956093
18785.1562	-87.939980
18788.0859	-87.935074
18791.0156	-87.999382
18793.9453	-88.076172
18796.8750	-88.063728
18799.8047	-87.982147
18802.7344	-87.992081
18805.6641	-88.058655
18808.5938	-88.018250
18811.5234	-87.951874
18814.4531	-87.955811
18817.3828	-87.973602
18820.3125	-87.965347
18823.2422	-87.957581
18826.1719	-87.944008
18829.1016	-87.915604
18832.0312	-87.929848
18834.9609	-87.972145
18837.8906	-87.986923
18840.8203	-87.999008
18843.7500	-88.044495
18846.6797	-88.062294
18849.6094	-88.020004
18852.5391	-88.033134
18855.4688	-88.085976
18858.3984	-88.102982
18861.3281	-88.110115
18864.2578	-88.108124
18867.1875	-88.109467
18870.1172	-88.095001
18873.0469	-88.064194
18875.9766	-88.038040
18878.9062	-88.037842
18881.8359	-88.086334
18884.7656	-88.139854
18887.6953	-88.135399
18890.6250	-88.087067
18893.5547	-88.093826
18896.4844	-88.142883
18899.4141	-88.168541
18902.3438	-88.156517
18905.2734	-88.165901
18908.2031	-88.185501
18911.1328	-88.158134
18914.0625	-88.136230
18916.9922	-88.155876
18919.9219	-88.161606
18922.8516	-88.115372
18925.7812	-88.124443
18928.7109	-88.221413
18931.6406	-88.305931
18934.5703	-88.331451
18937.5000	-88.281555
18940.4297	-88.241409
18943.3594	-88.312134
18946.2891	-88.353691
18949.2188	-88.281143
18952.1484	-88.244545
18955.0781	-88.249878
18958.0078	-88.261108
18960.9375	-88.282997
18963.8672	-88.264244
18966.7969	-88.219337
18969.7266	-88.254234
18972.6562	-88.297012
18975.5859	-88.264221
18978.5156	-88.278008
18981.4453	-88.297768
18984.3750	-88.269394
18987.3047	-88.272720
18990.2344	-88.274124
18993.1641	-88.345940
18996.0938	-88.468445
18999.0234	-88.428162
19001.9531	-88.326965
19004.8828	-88.276558
19007.8125	-88.248840
19010.7422	-88.269691
19013.6719	-88.290520
19016.6016	-88.292061
19019.5312	-88.297569
19022.4609	-88.317429
19025.3906	-88.347740
19028.3203	-88.355408
19031.2500	-88.363174
19034.1797	-88.388229
19037.1094	-88.391716
19040.0391	-88.384506
19042.9688	-88.360695
19045.8984	-88.349579
19048.8281	-88.396370
19051.7578	-88.404961
19054.6875	-88.388123
19057.6172	-88.401527
19060.5469	-88.403542
19063.4766	-88.423904
19066.4062	-88.448456
19069.3359	-88.456688
19072.2656	-88.468521
19075.1953	-88.460007
19078.1250	-88.424377
19081.0547	-88.414711
19083.9844	-88.428337
19086.9141	-88.428162
19089.8438	-88.461258
19092.7734	-88.560982
19095.7031	-88.600555
19098.6328	-88.525635
19101.5625	-88.526932
19104.4922	-88.573944
19107.4219	-88.514069
19110.3516	-88.449173
19113.2812	-88.463051
19116.2109	-88.481499
19119.1406	-88.513031
19122.0703	-88.513634
19125.0000	-88.514702
19127.9297	-88.576027
19130.8594	-88.634834
19133.7891	-88.649986
19136.7188	-88.648758
19139.6484	-88.614449
19142.5781	-88.601974
19145.5078	-88.640427
19148.4375	-88.630424
19151.3672	-88.581909
19154.2969	-88.586464
19157.2266	-88.629356
19160.1562	-88.616875
19163.0859	-88.594948
19166.0156	-88.619614
19168.9453	-88.651192
19171.8750	-88.653473
19174.8047	-88.623802
19177.7344	-88.609474
19180.6641	-88.600670
19183.5938	-88.581223
19186.5234	-88.615112
19189.4531	-88.663101
19192.3828	-88.693855
19195.3125	-88.748650
19198.2422	-88.743713
19201.1719	-88.705444
19204.1016	-88.705780
19207.0312	-88.699844
19209.9609	-88.698967
19212.8906	-88.717888
19215.8203	-88.717178
19218.7500	-88.706238
19221.6797	-88.747787
19224.6094	-88.798805
19227.5391	-88.792084
19230.4688	-88.767830
19233.3984	-88.751358
19236.3281	-88.708908
19239.2578	-88.677109
19242.1875	-88.702560
19245.1172	-88.757484
19248.0469	-88.786140
19250.9766	-88.767273
19253.9062	-88.745003
19256.8359	-88.741402
19259.7656	-88.758362
19262.6953	-88.804375
19265.6250	-88.819054
19268.5547	-88.812180
19271.4844	-88.820953
19274.4141	-88.815331
19277.3438	-88.803902
19280.2734	-88.796440
19283.2031	-88.824745
19286.1328	-88.885094
19289.0625	-88.905655
19291.9922	-88.874420
19294.9219	-88.834190
19297.8516	-88.821861
19300.7812	-88.809319
19303.7109	-88.826736
19306.6406	-88.876038
19309.5703	-88.889816
19312.5000	-88.905067
19315.4297	-88.939163
19318.3594	-88.960945
19321.2891	-88.955902
19324.2188	-88.949371
19327.1484	-88.975212
19330.0781	-89.043167
19333.0078	-89.081413
19335.9375	-89.066673
19338.8672	-89.050621
19341.7969	-88.997078
19344.7266	-89.004128
19347.6562	-89.086090
19350.5859	-89.079590
19353.5156	-89.043640
19356.4453	-89.035851
19359.3750	-89.053497
19362.3047	-89.112900
19365.2344	-89.171272
19368.1641	-89.165482
19371.0938	-89.115852
19374.0234	-89.135605
19376.9531	-89.159981
19379.8828	-89.164970
19382.8125	-89.216461
19385.7422	-89.222633
19388.6719	-89.173813
19391.6016	-89.127029
19394.5312	-89.075470
19397.4609	-89.132469
19400.3906	-89.207916
19403.3203	-89.191216
19406.2500	-89.190193
19409.1797	-89.228462
19412.1094	-89.250008
19415.0391	-89.252808
19417.9688	-89.231003
19420.8984	-89.172180
19423.8281	-89.168297
19426.7578	-89.192558
19429.6875	-89.222137
19432.6172	-89.285088
19435.5469	-89.349426
19438.4766	-89.397041
19441.4062	-89.350471
19444.3359	-89.276123
19447.2656	-89.290581
19450.1953	-89.319054
19453.1250	-89.317566
19456.0547	-89.304230
19458.9844	-89.304482
19461.9141	-89.358719
19464.8438	-89.405495
19467.7734	-89.415703
19470.7031	-89.426811
19473.6328	-89.432945
19476.5625	-89.426674
19479.4922	-89.424660
19482.4219	-89.439674
19485.3516	-89.462486
19488.2812	-89.475838
19491.2109	-89.478020
19494.1406	-89.513405
19497.0703	-89.554039
19500.0000	-89.525970
19502.9297	-89.516090
19505.8594	-89.569870
19508.7891	-89.564713
19511.7188	-89.516426
19514.6484	-89.529518
19517.5781	-89.595795
19520.5078	-89.646210
19523.4375	-89.647263
19526.3672	-89.626015
19529.2969	-89.596451
19532.2266	-89.588921
19535.1562	-89.612938
19538.0859	-89.618164
19541.0156	-89.654495
19543.9453	-89.717041
19546.8750	-89.723854
19549.8047	-89.694420
19552.7344	-89.685432
19555.6641	-89.694839
19558.5938	-89.717239
19561.5234	-89.768448
19564.4531	-89.793503
19567.3828	-89.799026
19570.3125	-89.792473
19573.2422	-89.779724
19576.1719	-89.813599
19579.1016	-89.854080
19582.0312	-89.881645
19584.9609	-89.894440
19587.8906	-89.887444
19590.8203	-89.936028
19593.7500	-90.032570
19596.6797	-90.019638
19599.6094	-89.910751
19602.5391	-89.899689
19605.4688	-89.964699
19608.3984	-90.027069
19611.3281	-90.063919
19614.2578	-90.110054
19617.1875	-90.202705
19620.1172	-90.240280
19623.0469	-90.187248
19625.9766	-90.168129
19628.9062	-90.258751
19631.8359	-90.313873
19634.7656	-90.299232
19637.6953	-90.330765
19640.6250	-90.345055
19643.5547	-90.286842
19646.4844	-90.223854
19649.4141	-90.261620
19652.3438	-90.321594
19655.2734	-90.349174
19658.2031	-90.383965
19661.1328	-90.403069
19664.0625	-90.405945
19666.9922	-90.439224
19669.9219	-90.443558
19672.8516	-90.430450
19675.7812	-90.449310
19678.7109	-90.471970
19681.6406	-90.562645
19684.5703	-90.638283
19687.5000	-90.621712
19690.4297	-90.612862
19693.3594	-90.589943
19696.2891	-90.558914
19699.2188	-90.672523
19702.1484	-90.843063
19705.0781	-90.882263
19708.0078	-90.884789
19710.9375	-90.915764
19713.8672	-90.930397
19716.7969	-90.947830
19719.7266	-90.978432
19722.6562	-91.036568
19725.5859	-91.090591
19728.5156	-91.087105
19731.4453	-91.128464
19734.3750	-91.257767
19737.3047	-91.314041
19740.2344	-91.317574
19743.1641	-91.356895
19746.0938	-91.313477
19749.0234	-91.321983
19751.9531	-91.427528
19754.8828	-91.472046
19757.8125	-91.536720
19760.7422	-91.588539
19763.6719	-91.613159
19766.6016	-91.686531
19769.5312	-91.745148
19772.4609	-91.821381
19775.3906	-91.927216
19778.3203	-92.063026
19781.2500	-92.194016
19784.1797	-92.235847
19787.1094	-92.324478
19790.0391	-92.498444
19792.9688	-92.616936
19795.8984	-92.608597
19798.8281	-92.600044
19801.7578	-92.674042
19804.6875	-92.734642
19807.6172	-92.799065
19810.5469	-92.980415
19813.4766	-93.158669
19816.4062	-93.238625
19819.3359	-93.291641
19822.2656	-93.396523
19825.1953	-93.636284
19828.1250	-93.918732
19831.0547	-94.054832
19833.9844	-94.131714
19836.9141	-94.286987
19839.8438	-94.529243
19842.7734	-94.756889
19845.7031	-94.933563
19848.6328	-95.233261
19851.5625	-95.572891
19854.4922	-95.877724
19857.4219	-96.223274
19860.3516	-96.595718
19863.2812	-97.023186
19866.2109	-97.601997
19869.1406	-98.294800
19872.0703	-98.899994
19875.0000	-99.617844
19877.9297	-100.483932
19880.8594	-101.454796
19883.7891	-102.836105
19886.7188	-104.376534
19889.6484	-106.413399
19892.5781	-110.339828
19895.5078	-115.459244
19898.4375	-115.467918
19901.3672	-110.572746
19904.2969	-105.737488
19907.2266	-102.072792
19910.1562	-99.094795
19913.0859	-96.685287
19916.0156	-94.562218
19918.9453	-92.553391
19921.8750	-90.623489
19924.8047	-88.765892
19927.7344	-86.955261
19930.6641	-85.093216
19933.5938	-83.129715
19936.5234	-81.023697
19939.4531	-78.706848
19942.3828	-76.145073
19945.3125	-73.266197
19948.2422	-70.253723
19951.1719	-68.365685
19954.1016	-68.378296
19957.0312	-69.965912
19959.9609	-72.103752
19962.8906	-73.911171
19965.8203	-75.378174
19968.7500	-76.565033
19971.6797	-77.552650
19974.6094	-78.372932
19977.5391	-79.074799
19980.4688	-79.705734
19983.3984	-80.278587
19986.3281	-80.765327
19989.2578	-81.158989
19992.1875	-81.505150
19995.1172	-81.829445
19998.0469	-82.150826
20000.9766	-82.479073
20003.9062	-82.787361
20006.8359	-83.071724
20009.7656	-83.303268
20012.6953	-83.472321
20015.6250	-83.637985
20018.5547	-83.811501
20021.4844	-83.964119
20024.4141	-84.094864
20027.3438	-84.241699
20030.2734	-84.416740
20033.2031	-84.577736
20036.1328	-84.705780
20039.0625	-84.843475
20041.9922	-84.979523
20044.9219	-85.059364
20047.8516	-85.125046
20050.7812	-85.217339
20053.7109	-85.367096
20056.6406	-85.495201
20059.5703	-85.554947
20062.5000	-85.604149
20065.4297	-85.682220
20068.3594	-85.765083
20071.2891	-85.830856
20074.2188	-85.906815
20077.1484	-85.989716
20080.0781	-86.035835
20083.0078	-86.057198
20085.9375	-86.115326
20088.8672	-86.197662
20091.7969	-86.228065
20094.7266	-86.230362
20097.6562	-86.284225
20100.5859	-86.382751
20103.5156	-86.453636
20106.4453	-86.509636
20109.3750	-86.583168
20112.3047	-86.616020
20115.2344	-86.620911
20118.1641	-86.633553
20121.0938	-86.649918
20124.0234	-86.680138
20126.9531	-86.713425
20129.8828	-86.748550
20132.8125	-86.799339
20135.7422	-86.855301
20138.6719	-86.897858
20141.6016	-86.913734
20144.5312	-86.914230
20147.4609	-86.954926
20150.3906	-87.014015
20153.3203	-87.049034
20156.2500	-87.065468
20159.1797	-87.075569
20162.1094	-87.114197
20165.0391	-87.177895
20167.9688	-87.239059
20170.8984	-87.312767
20173.8281	-87.367493
20176.7578	-87.360291
20179.6875	-87.343544
20182.6172	-87.364105
20185.5469	-87.393501
20188.4766	-87.411194
20191.4062	-87.403275
20194.3359	-87.351669
20197.2656	-87.334930
20200.1953	-87.392967
20203.1250	-87.446068
20206.0547	-87.494102
20208.9844	-87.537674
20211.9141	-87.537827
20214.8438	-87.523933
20217.7734	-87.559219
20220.7031	-87.633354
20223.6328	-87.650391
20226.5625	-87.632019
20229.4922	-87.631676
20232.4219	-87.630142
20235.3516	-87.687317
20238.2812	-87.774429
20241.2109	-87.792633
20244.1406	-87.805580
20247.0703	-87.841484
20250.0000	-87.840843
20252.9297	-87.840118
20255.8594	-87.862740
20258.7891	-87.881386
20261.7188	-87.893921
20264.6484	-87.872398
20267.5781	-87.848167
20270.5078	-87.864899
20273.4375	-87.913803
20276.3672	-87.982605
20279.2969	-87.987747
20282.2266	-87.962402
20285.1562	-87.999191
20288.0859	-88.051697
20291.0156	-88.058945
20293.9453	-87.991341
20296.8750	-87.964233
20299.8047	-88.061089
20302.7344	-88.133095
20305.6641	-88.137108
20308.5938	-88.162804
20311.5234	-88.196381
20314.4531	-88.192032
20317.3828	-88.165802
20320.3125	-88.160172
20323.2422	-88.202545
20326.1719	-88.233368
20329.1016	-88.253952
20332.0312	-88.235527
20334.9609	-88.223068
20337.8906	-88.235443
20340.8203	-88.225388
20343.7500	-88.253792
20346.6797	-88.279449
20349.6094	-88.247192
20352.5391	-88.205399
20355.4688	-88.218567
20358.3984	-88.264671
20361.3281	-88.271233
20364.2578	-88.272987
20367.1875	-88.313751
20370.1172	-88.350105
20373.0469	-88.377968
20375.9766	-88.404060
20378.9062	-88.383476
20381.8359	-88.364731
20384.7656	-88.366089
20387.6953	-88.360901
20390.6250	-88.389603
20393.5547	-88.420143
20396.4844	-88.403160
20399.4141	-88.372467
20402.3438	-88.379677
20405.2734	-88.420013
20408.2031	-88.446716
20411.1328	-88.436501
20414.0625	-88.461754
20416.9922	-88.545059
20419.9219	-88.565666
20422.8516	-88.532135
20425.7812	-88.548370
20428.7109	-88.566498
20431.6406	-88.555519
20434.5703	-88.531807
20437.5000	-88.509697
20440.4297	-88.544182
20443.3594	-88.592529
20446.2891	-88.616966
20449.2188	-88.626350
20452.1484	-88.633682
20455.0781	-88.632286
20458.0078	-88.603020
20460.9375	-88.598724
20463.8672	-88.641891
20466.7969	-88.663315
20469.7266	-88.657005
20472.6562	-88.673676
20475.5859	-88.705093
20478.5156	-88.739052
20481.4453	-88.761398
20484.3750	-88.768684
20487.3047	-88.758720
20490.2344	-88.732140
20493.1641	-88.664268
20496.0938	-88.630783
20499.0234	-88.701752
20501.9531	-88.748878
20504.8828	-88.760094
20507.8125	-88.780914
20510.7422	-88.752220
20513.6719	-88.745300
20516.6016	-88.792961
20519.5312	-88.801331
20522.4609	-88.777611
20525.3906	-88.782959
20528.3203	-88.831955
20531.2500	-88.835793
20534.1797	-88.823959
20537.1094	-88.846718
20540.0391	-88.799141
20542.9688	-88.785271
20545.8984	-88.859230
20548.8281	-88.887543
20551.7578	-88.878868
20554.6875	-88.850197
20557.6172	-88.792999
20560.5469	-88.799599
20563.4766	-88.888351
20566.4062	-88.940186
20569.3359	-88.905716
20572.2656	-88.881149
20575.1953	-88.907738
20578.1250	-88.935860
20581.0547	-88.969048
20583.9844	-88.987213
20586.9141	-88.944206
20589.8438	-88.915985
20592.7734	-88.930229
20595.7031	-88.909904
20598.6328	-88.906151
20601.5625	-88.959129
20604.4922	-88.998154
20607.4219	-88.997475
20610.3516	-88.966080
20613.2812	-88.954765
20616.2109	-88.975136
20619.1406	-89.022392
20622.0703	-89.047859
20625.0000	-89.032387
20627.9297	-89.044006
20630.8594	-89.044334
20633.7891	-89.038620
20636.7188	-89.063675
20639.6484	-89.082458
20642.5781	-89.042519
20645.5078	-88.970245
20648.4375	-88.984734
20651.3672	-89.074905
20654.2969	-89.097183
20657.2266	-89.062248
20660.1562	-89.057724
20663.0859	-89.068054
20666.0156	-89.059006
20668.9453	-89.040642
20671.8750	-89.036156
20674.8047	-89.056793
20677.7344	-89.099564
20680.6641	-89.136955
20683.5938	-89.148544
20686.5234	-89.164696
20689.4531	-89.177383
20692.3828	-89.152443
20695.3125	-89.132988
20698.2422	-89.121552
20701.1719	-89.131554
20704.1016	-89.190750
20707.0312	-89.210846
20709.9609	-89.188812
