;Freq(Hz)	Relative Amplitude (dB): Left
18407.2266	-90.286774
18410.1562	-90.363205
18413.0859	-90.384338
18416.0156	-90.385033
18418.9453	-90.348167
18421.8750	-90.317902
18424.8047	-90.364975
18427.7344	-90.437912
18430.6641	-90.456825
18433.5938	-90.432922
18436.5234	-90.422699
18439.4531	-90.428833
18442.3828	-90.420876
18445.3125	-90.445213
18448.2422	-90.506622
18451.1719	-90.506447
18454.1016	-90.497429
18457.0312	-90.504547
18459.9609	-90.474022
18462.8906	-90.469948
18465.8203	-90.474976
18468.7500	-90.475945
18471.6797	-90.503487
18474.6094	-90.506203
18477.5391	-90.485809
18480.4688	-90.463142
18483.3984	-90.488312
18486.3281	-90.544975
18489.2578	-90.529762
18492.1875	-90.490921
18495.1172	-90.439888
18498.0469	-90.400345
18500.9766	-90.514008
18503.9062	-90.636307
18506.8359	-90.644798
18509.7656	-90.640709
18512.6953	-90.641663
18515.6250	-90.644989
18518.5547	-90.663849
18521.4844	-90.694359
18524.4141	-90.698189
18527.3438	-90.666283
18530.2734	-90.675720
18533.2031	-90.704536
18536.1328	-90.682091
18539.0625	-90.677544
18541.9922	-90.689796
18544.9219	-90.744148
18547.8516	-90.834396
18550.7812	-90.782104
18553.7109	-90.694458
18556.6406	-90.737183
18559.5703	-90.788605
18562.5000	-90.798019
18565.4297	-90.818413
18568.3594	-90.866356
18571.2891	-90.930107
18574.2188	-90.919144
18577.1484	-90.844536
18580.0781	-90.822556
18583.0078	-90.903984
18585.9375	-90.980247
18588.8672	-90.955826
18591.7969	-90.934761
18594.7266	-90.949448
18597.6562	-91.002670
18600.5859	-91.020348
18603.5156	-91.000740
18606.4453	-90.988564
18609.3750	-90.963043
18612.3047	-90.946869
18615.2344	-90.928421
18618.1641	-90.925278
18621.0938	-91.007805
18624.0234	-91.057671
18626.9531	-91.036835
18629.8828	-91.082703
18632.8125	-91.096313
18635.7422	-91.075348
18638.6719	-91.113571
18641.6016	-91.175934
18644.5312	-91.242516
18647.4609	-91.254936
18650.3906	-91.182091
18653.3203	-91.143555
18656.2500	-91.181770
18659.1797	-91.209915
18662.1094	-91.236145
18665.0391	-91.219719
18667.9688	-91.179482
18670.8984	-91.189186
18673.8281	-91.200142
18676.7578	-91.243385
18679.6875	-91.312050
18682.6172	-91.324631
18685.5469	-91.303986
18688.4766	-91.349327
18691.4062	-91.394646
18694.3359	-91.309288
18697.2656	-91.209229
18700.1953	-91.244164
18703.1250	-91.362778
18706.0547	-91.421555
18708.9844	-91.418076
18711.9141	-91.413841
18714.8438	-91.391327
18717.7734	-91.384972
18720.7031	-91.495438
18723.6328	-91.552177
18726.5625	-91.486084
18729.4922	-91.540436
18732.4219	-91.594307
18735.3516	-91.540131
18738.2812	-91.560165
18741.2109	-91.615990
18744.1406	-91.699036
18747.0703	-91.810387
18750.0000	-91.825829
18752.9297	-91.805267
18755.8594	-91.800087
18758.7891	-91.765656
18761.7188	-91.728508
18764.6484	-91.764336
18767.5781	-91.827827
18770.5078	-91.813599
18773.4375	-91.777779
18776.3672	-91.789185
18779.2969	-91.880295
18782.2266	-91.961266
18785.1562	-91.963509
18788.0859	-91.909462
18791.0156	-91.893425
18793.9453	-91.979553
18796.8750	-92.014450
18799.8047	-92.017258
18802.7344	-92.056252
18805.6641	-92.065193
18808.5938	-92.086639
18811.5234	-92.124855
18814.4531	-92.131828
18817.3828	-92.148949
18820.3125	-92.155373
18823.2422	-92.153305
18826.1719	-92.176453
18829.1016	-92.176552
18832.0312	-92.188026
18834.9609	-92.232925
18837.8906	-92.291290
18840.8203	-92.321915
18843.7500	-92.284843
18846.6797	-92.248497
18849.6094	-92.297150
18852.5391	-92.380234
18855.4688	-92.420509
18858.3984	-92.383064
18861.3281	-92.379097
18864.2578	-92.521347
18867.1875	-92.586823
18870.1172	-92.566780
18873.0469	-92.597572
18875.9766	-92.587654
18878.9062	-92.560432
18881.8359	-92.605415
18884.7656	-92.682549
18887.6953	-92.728271
18890.6250	-92.771179
18893.5547	-92.745972
18896.4844	-92.621254
18899.4141	-92.643341
18902.3438	-92.838623
18905.2734	-92.928444
18908.2031	-92.928123
18911.1328	-92.911049
18914.0625	-92.924576
18916.9922	-93.092430
18919.9219	-93.189735
18922.8516	-93.157387
18925.7812	-93.212349
18928.7109	-93.261108
18931.6406	-93.288605
18934.5703	-93.361572
18937.5000	-93.464577
18940.4297	-93.536034
18943.3594	-93.549446
18946.2891	-93.586472
18949.2188	-93.645470
18952.1484	-93.740829
18955.0781	-93.793648
18958.0078	-93.773247
18960.9375	-93.789040
18963.8672	-93.875084
18966.7969	-94.014000
18969.7266	-94.117813
18972.6562	-94.082718
18975.5859	-94.067444
18978.5156	-94.142532
18981.4453	-94.174728
18984.3750	-94.274231
18987.3047	-94.392029
18990.2344	-94.491806
18993.1641	-94.566032
18996.0938	-94.557480
18999.0234	-94.655220
19001.9531	-94.768967
19004.8828	-94.795509
19007.8125	-94.910889
19010.7422	-95.085464
19013.6719	-95.190353
19016.6016	-95.258774
19019.5312	-95.315491
19022.4609	-95.412148
19025.3906	-95.512398
19028.3203	-95.569283
19031.2500	-95.671227
19034.1797	-95.870453
19037.1094	-96.110008
19040.0391	-96.204422
19042.9688	-96.282402
19045.8984	-96.559814
19048.8281	-96.723534
19051.7578	-96.761391
19054.6875	-96.955826
19057.6172	-97.144417
19060.5469	-97.285034
19063.4766	-97.310341
19066.4062	-97.373581
19069.3359	-97.686638
19072.2656	-98.113815
19075.1953	-98.441399
19078.1250	-98.568535
19081.0547	-98.655090
19083.9844	-98.869217
19086.9141	-99.218918
19089.8438	-99.600670
19092.7734	-99.973274
19095.7031	-100.437576
19098.6328	-100.873421
19101.5625	-101.157364
19104.4922	-101.748558
19107.4219	-102.638687
19110.3516	-103.226913
19113.2812	-103.721687
19116.2109	-104.572472
19119.1406	-105.514336
19122.0703	-106.398827
19125.0000	-107.670372
19127.9297	-109.826813
19130.8594	-112.924805
19133.7891	-116.594704
19136.7188	-121.943481
19139.6484	-124.491493
19142.5781	-119.248657
19145.5078	-113.131714
19148.4375	-109.555458
19151.3672	-107.510056
19154.2969	-105.750549
19157.2266	-103.766296
19160.1562	-101.912132
19163.0859	-100.389999
19166.0156	-98.988556
19168.9453	-97.636353
19171.8750	-96.413895
19174.8047	-95.356766
19177.7344	-94.377487
19180.6641	-93.363907
19183.5938	-92.341118
19186.5234	-91.330200
19189.4531	-90.272629
19192.3828	-89.205849
19195.3125	-88.333679
19198.2422	-87.411469
19201.1719	-86.236938
19204.1016	-85.047592
19207.0312	-83.877853
19209.9609	-82.688843
19212.8906	-81.480057
19215.8203	-80.190796
19218.7500	-78.817917
19221.6797	-77.333626
19224.6094	-75.696411
19227.5391	-73.920059
19230.4688	-72.074013
19233.3984	-70.281067
19236.3281	-68.959732
19239.2578	-68.472351
19242.1875	-68.898781
19245.1172	-69.987373
19248.0469	-71.329521
19250.9766	-72.619850
19253.9062	-73.797424
19256.8359	-74.841637
19259.7656	-75.763870
19262.6953	-76.581642
19265.6250	-77.291267
19268.5547	-77.916832
19271.4844	-78.493301
19274.4141	-79.029213
19277.3438	-79.528084
19280.2734	-79.961731
19283.2031	-80.351006
19286.1328	-80.712738
19289.0625	-81.040878
19291.9922	-81.370811
19294.9219	-81.687531
19297.8516	-81.971054
19300.7812	-82.218704
19303.7109	-82.455040
19306.6406	-82.686501
19309.5703	-82.896011
19312.5000	-83.101982
19315.4297	-83.310417
19318.3594	-83.514839
19321.2891	-83.687820
19324.2188	-83.824440
19327.1484	-83.960175
19330.0781	-84.097549
19333.0078	-84.217407
19335.9375	-84.356331
19338.8672	-84.504265
19341.7969	-84.624748
19344.7266	-84.757545
19347.6562	-84.883949
19350.5859	-84.985649
19353.5156	-85.104218
19356.4453	-85.235855
19359.3750	-85.332451
19362.3047	-85.390541
19365.2344	-85.469925
19368.1641	-85.586716
19371.0938	-85.699722
19374.0234	-85.786201
19376.9531	-85.847054
19379.8828	-85.923439
19382.8125	-86.042862
19385.7422	-86.119347
19388.6719	-86.146027
19391.6016	-86.212715
19394.5312	-86.294411
19397.4609	-86.380440
19400.3906	-86.439781
19403.3203	-86.467453
19406.2500	-86.535622
19409.1797	-86.607040
19412.1094	-86.667831
19415.0391	-86.725990
19417.9688	-86.753258
19420.8984	-86.805695
19423.8281	-86.907539
19426.7578	-87.006371
19429.6875	-87.059898
19432.6172	-87.093559
19435.5469	-87.133598
19438.4766	-87.155190
19441.4062	-87.199226
19444.3359	-87.252373
19447.2656	-87.290176
19450.1953	-87.354881
19453.1250	-87.407051
19456.0547	-87.442177
19458.9844	-87.483391
19461.9141	-87.526299
19464.8438	-87.557335
19467.7734	-87.575211
19470.7031	-87.591202
19473.6328	-87.596283
19476.5625	-87.638634
19479.4922	-87.711838
19482.4219	-87.758827
