;Freq(Hz)	Relative Amplitude (dB): Left
18424.8047	-88.216248
18427.7344	-88.274925
18430.6641	-88.350845
18433.5938	-88.350456
18436.5234	-88.316483
18439.4531	-88.312668
18442.3828	-88.302147
18445.3125	-88.296432
18448.2422	-88.319901
18451.1719	-88.313187
18454.1016	-88.347260
18457.0312	-88.408440
18459.9609	-88.432480
18462.8906	-88.471718
18465.8203	-88.468895
18468.7500	-88.417053
18471.6797	-88.413841
18474.6094	-88.448914
18477.5391	-88.471840
18480.4688	-88.488930
18483.3984	-88.477119
18486.3281	-88.475891
18489.2578	-88.499886
18492.1875	-88.513794
18495.1172	-88.520729
18498.0469	-88.493988
18500.9766	-88.484612
18503.9062	-88.552200
18506.8359	-88.615562
18509.7656	-88.593391
18512.6953	-88.546692
18515.6250	-88.506088
18518.5547	-88.524971
18521.4844	-88.549744
18524.4141	-88.585625
18527.3438	-88.629562
18530.2734	-88.642448
18533.2031	-88.608307
18536.1328	-88.581902
18539.0625	-88.561783
18541.9922	-88.559135
18544.9219	-88.575470
18547.8516	-88.627823
18550.7812	-88.705635
18553.7109	-88.702003
18556.6406	-88.629906
18559.5703	-88.595993
18562.5000	-88.615364
18565.4297	-88.611069
18568.3594	-88.595596
18571.2891	-88.628815
18574.2188	-88.666306
18577.1484	-88.657036
18580.0781	-88.636612
18583.0078	-88.647949
18585.9375	-88.695854
18588.8672	-88.759827
18591.7969	-88.780594
18594.7266	-88.754433
18597.6562	-88.756615
18600.5859	-88.728661
18603.5156	-88.648964
18606.4453	-88.699997
18609.3750	-88.818886
18612.3047	-88.838585
18615.2344	-88.796349
18618.1641	-88.777985
18621.0938	-88.824768
18624.0234	-88.882927
18626.9531	-88.873749
18629.8828	-88.827438
18632.8125	-88.823029
18635.7422	-88.868515
18638.6719	-88.918549
18641.6016	-88.931259
18644.5312	-88.952522
18647.4609	-88.975861
18650.3906	-88.977921
18653.3203	-89.001511
18656.2500	-89.022430
18659.1797	-88.990143
18662.1094	-89.007393
18665.0391	-89.067986
18667.9688	-89.057503
18670.8984	-89.068275
18673.8281	-89.082214
18676.7578	-89.091080
18679.6875	-89.135262
18682.6172	-89.112167
18685.5469	-89.073227
18688.4766	-89.081894
18691.4062	-89.082565
18694.3359	-89.114059
18697.2656	-89.077423
18700.1953	-89.023354
18703.1250	-89.099709
18706.0547	-89.214302
18708.9844	-89.203949
18711.9141	-89.100815
18714.8438	-89.089470
18717.7734	-89.193634
