;Freq(Hz)	Relative Amplitude (dB): Left
17961.9141	-71.253143
17964.8438	-71.259628
17967.7734	-71.266113
17970.7031	-71.268311
17973.6328	-71.266769
17976.5625	-71.267509
17979.4922	-71.271774
17982.4219	-71.274895
17985.3516	-71.278252
17988.2812	-71.288376
17991.2109	-71.298485
17994.1406	-71.298149
17997.0703	-71.302330
18000.0000	-71.314606
18002.9297	-71.319527
18005.8594	-71.322266
18008.7891	-71.325188
18011.7188	-71.328346
18014.6484	-71.340385
18017.5781	-71.348488
18020.5078	-71.348274
18023.4375	-71.354500
18026.3672	-71.366280
18029.2969	-71.380432
18032.2266	-71.390205
18035.1562	-71.386879
18038.0859	-71.383461
18041.0156	-71.394020
18043.9453	-71.407738
18046.8750	-71.415543
18049.8047	-71.425629
18052.7344	-71.433960
18055.6641	-71.443031
18058.5938	-71.455124
18061.5234	-71.464363
18064.4531	-71.474159
18067.3828	-71.481560
18070.3125	-71.493622
18073.2422	-71.508812
18076.1719	-71.511131
18079.1016	-71.506744
18082.0312	-71.505997
18084.9609	-71.504807
18087.8906	-71.507324
18090.8203	-71.511749
18093.7500	-71.511200
18096.6797	-71.507118
18099.6094	-71.508781
18102.5391	-71.516487
18105.4688	-71.518135
18108.3984	-71.518761
18111.3281	-71.526382
18114.2578	-71.531052
18117.1875	-71.531204
18120.1172	-71.532593
18123.0469	-71.536461
18125.9766	-71.540092
18128.9062	-71.538994
18131.8359	-71.537926
18134.7656	-71.541847
18137.6953	-71.550537
18140.6250	-71.559273
18143.5547	-71.559616
18146.4844	-71.560089
18149.4141	-71.565430
18152.3438	-71.567184
18155.2734	-71.568344
18158.2031	-71.576691
18161.1328	-71.586426
18164.0625	-71.593834
18166.9922	-71.600571
18169.9219	-71.602036
18172.8516	-71.602959
18175.7812	-71.606720
18178.7109	-71.609528
18181.6406	-71.616638
18184.5703	-71.627136
18187.5000	-71.641670
18190.4297	-71.653603
18193.3594	-71.654594
18196.2891	-71.660492
18199.2188	-71.671844
18202.1484	-71.680923
18205.0781	-71.686607
18208.0078	-71.686745
18210.9375	-71.683815
18213.8672	-71.686295
18216.7969	-71.692307
18219.7266	-71.692200
18222.6562	-71.691757
18225.5859	-71.695961
18228.5156	-71.706413
18231.4453	-71.721916
18234.3750	-71.731575
18237.3047	-71.736038
18240.2344	-71.740051
18243.1641	-71.743385
18246.0938	-71.744484
18249.0234	-71.746162
18251.9531	-71.750504
18254.8828	-71.756073
18257.8125	-71.762749
18260.7422	-71.768227
18263.6719	-71.782120
18266.6016	-71.796883
18269.5312	-71.799461
18272.4609	-71.797607
18275.3906	-71.798409
18278.3203	-71.810371
18281.2500	-71.827957
18284.1797	-71.838844
18287.1094	-71.844460
18290.0391	-71.851425
18292.9688	-71.862732
18295.8984	-71.875549
18298.8281	-71.883186
18301.7578	-71.888252
18304.6875	-71.899849
18307.6172	-71.911194
