;Freq(Hz)	Relative Amplitude (dB): Left
17961.9141	-79.246681
17964.8438	-79.237770
17967.7734	-79.236244
17970.7031	-79.261879
17973.6328	-79.287445
17976.5625	-79.293182
17979.4922	-79.286186
17982.4219	-79.304733
17985.3516	-79.333931
17988.2812	-79.346169
17991.2109	-79.338257
17994.1406	-79.330544
17997.0703	-79.328224
18000.0000	-79.316002
18002.9297	-79.319695
18005.8594	-79.324776
18008.7891	-79.322182
18011.7188	-79.322708
18014.6484	-79.314186
18017.5781	-79.315605
18020.5078	-79.330177
18023.4375	-79.335274
18026.3672	-79.333183
18029.2969	-79.338814
18032.2266	-79.356674
18035.1562	-79.374390
18038.0859	-79.379807
18041.0156	-79.376480
18043.9453	-79.377571
18046.8750	-79.370377
18049.8047	-79.359627
18052.7344	-79.369675
18055.6641	-79.383423
18058.5938	-79.383995
18061.5234	-79.388756
18064.4531	-79.408295
18067.3828	-79.409119
18070.3125	-79.394127
18073.2422	-79.410080
18076.1719	-79.438072
18079.1016	-79.433823
18082.0312	-79.421112
18084.9609	-79.425636
18087.8906	-79.442863
18090.8203	-79.461044
18093.7500	-79.468925
18096.6797	-79.479729
18099.6094	-79.498238
18102.5391	-79.509567
18105.4688	-79.506279
18108.3984	-79.499161
18111.3281	-79.512245
18114.2578	-79.540367
18117.1875	-79.545418
18120.1172	-79.529076
18123.0469	-79.529587
18125.9766	-79.542900
18128.9062	-79.542397
18131.8359	-79.550949
18134.7656	-79.569405
18137.6953	-79.568405
18140.6250	-79.563492
18143.5547	-79.575195
18146.4844	-79.590126
18149.4141	-79.590172
18152.3438	-79.589348
18155.2734	-79.597481
18158.2031	-79.602859
18161.1328	-79.612175
18164.0625	-79.629379
18166.9922	-79.625946
18169.9219	-79.613403
18172.8516	-79.611671
18175.7812	-79.624237
18178.7109	-79.649460
18181.6406	-79.657242
18184.5703	-79.649925
18187.5000	-79.646210
18190.4297	-79.662804
18193.3594	-79.699615
18196.2891	-79.718559
18199.2188	-79.725372
18202.1484	-79.744385
18205.0781	-79.755234
18208.0078	-79.755051
18210.9375	-79.751251
18213.8672	-79.762711
18216.7969	-79.790207
18219.7266	-79.803604
18222.6562	-79.810051
18225.5859	-79.809029
18228.5156	-79.801430
18231.4453	-79.811485
18234.3750	-79.830475
18237.3047	-79.837067
