;Freq(Hz)	Relative Amplitude (dB): Left
18339.8438	-94.660400
18342.7734	-94.663979
18345.7031	-94.603485
18348.6328	-94.540413
18351.5625	-94.526199
18354.4922	-94.499405
18357.4219	-94.489441
18360.3516	-94.481789
18363.2812	-94.430183
18366.2109	-94.373100
18369.1406	-94.372299
18372.0703	-94.357208
18375.0000	-94.270348
18377.9297	-94.207207
18380.8594	-94.199059
18383.7891	-94.160515
18386.7188	-94.092796
18389.6484	-94.075081
18392.5781	-94.066666
18395.5078	-94.035973
18398.4375	-93.985901
18401.3672	-93.946976
18404.2969	-93.928017
18407.2266	-93.872704
18410.1562	-93.841209
18413.0859	-93.852364
18416.0156	-93.828896
18418.9453	-93.818581
18421.8750	-93.797455
18424.8047	-93.738655
18427.7344	-93.724518
18430.6641	-93.716995
18433.5938	-93.709526
18436.5234	-93.723755
18439.4531	-93.715622
18442.3828	-93.683617
18445.3125	-93.641495
18448.2422	-93.590904
18451.1719	-93.563484
18454.1016	-93.541023
18457.0312	-93.520767
18459.9609	-93.494781
18462.8906	-93.433121
18465.8203	-93.363495
18468.7500	-93.326965
18471.6797	-93.337395
18474.6094	-93.331085
18477.5391	-93.273529
18480.4688	-93.211937
18483.3984	-93.192940
18486.3281	-93.191589
18489.2578	-93.168304
18492.1875	-93.163811
18495.1172	-93.156326
18498.0469	-93.072258
18500.9766	-92.964447
18503.9062	-92.937637
18506.8359	-92.947182
18509.7656	-92.928574
18512.6953	-92.913643
18515.6250	-92.902725
18518.5547	-92.886894
18521.4844	-92.835373
18524.4141	-92.780640
18527.3438	-92.778793
18530.2734	-92.764366
18533.2031	-92.724571
18536.1328	-92.687943
18539.0625	-92.635918
18541.9922	-92.607292
18544.9219	-92.593307
18547.8516	-92.560265
18550.7812	-92.535576
18553.7109	-92.501518
18556.6406	-92.461617
18559.5703	-92.422226
18562.5000	-92.384544
18565.4297	-92.384026
18568.3594	-92.352432
18571.2891	-92.288712
18574.2188	-92.235359
18577.1484	-92.198372
18580.0781	-92.159676
18583.0078	-92.087448
18585.9375	-92.026085
18588.8672	-91.974182
18591.7969	-91.881645
18594.7266	-91.806274
18597.6562	-91.703972
18600.5859	-91.549942
18603.5156	-91.397705
18606.4453	-91.199471
18609.3750	-90.960876
18612.3047	-90.697685
18615.2344	-90.415848
18618.1641	-90.137260
18621.0938	-89.840958
18624.0234	-89.525436
18626.9531	-89.209351
18629.8828	-88.890907
18632.8125	-88.575531
18635.7422	-88.297211
18638.6719	-88.075180
18641.6016	-87.906631
18644.5312	-87.789673
18647.4609	-87.721817
18650.3906	-87.682137
18653.3203	-87.661400
18656.2500	-87.671028
18659.1797	-87.691223
18662.1094	-87.695877
18665.0391	-87.712585
18667.9688	-87.757851
18670.8984	-87.784805
18673.8281	-87.792503
18676.7578	-87.812248
18679.6875	-87.836761
18682.6172	-87.865372
18685.5469	-87.885628
18688.4766	-87.881493
18691.4062	-87.885719
18694.3359	-87.922470
18697.2656	-87.963379
18700.1953	-87.987350
18703.1250	-88.026337
18706.0547	-88.079018
18708.9844	-88.124992
18711.9141	-88.194298
18714.8438	-88.277100
18717.7734	-88.345810
18720.7031	-88.423294
18723.6328	-88.512856
18726.5625	-88.578400
18729.4922	-88.626137
18732.4219	-88.669876
18735.3516	-88.690590
