;Freq(Hz)	Relative Amplitude (dB): Left
17979.4922	-62.025486
17982.4219	-62.021545
17985.3516	-62.017262
17988.2812	-62.013531
17991.2109	-62.009708
17994.1406	-62.008587
17997.0703	-62.005936
18000.0000	-61.997551
18002.9297	-61.990772
18005.8594	-61.989559
18008.7891	-61.988396
18011.7188	-61.984016
18014.6484	-61.977371
18017.5781	-61.973137
18020.5078	-61.972404
18023.4375	-61.970955
18026.3672	-61.969517
18029.2969	-61.967407
18032.2266	-61.963470
18035.1562	-61.960320
18038.0859	-61.958477
18041.0156	-61.960209
18043.9453	-61.963070
18046.8750	-61.959290
18049.8047	-61.955544
18052.7344	-61.955471
18055.6641	-61.954723
18058.5938	-61.955360
18061.5234	-61.954391
18064.4531	-61.951126
18067.3828	-61.948864
18070.3125	-61.948452
18073.2422	-61.952442
18076.1719	-61.953217
18079.1016	-61.944653
18082.0312	-61.935379
18084.9609	-61.927998
18087.8906	-61.918480
18090.8203	-61.907978
18093.7500	-61.899750
18096.6797	-61.890137
18099.6094	-61.880608
18102.5391	-61.873131
18105.4688	-61.864231
18108.3984	-61.856876
18111.3281	-61.851746
18114.2578	-61.843113
18117.1875	-61.834496
18120.1172	-61.828144
18123.0469	-61.822033
18125.9766	-61.815868
18128.9062	-61.808891
18131.8359	-61.801765
18134.7656	-61.797966
18137.6953	-61.796516
18140.6250	-61.789299
18143.5547	-61.781979
18146.4844	-61.777817
18149.4141	-61.770123
18152.3438	-61.765293
18155.2734	-61.761822
18158.2031	-61.755272
18161.1328	-61.751133
18164.0625	-61.749989
18166.9922	-61.747646
18169.9219	-61.742043
18172.8516	-61.735676
18175.7812	-61.728596
18178.7109	-61.720222
18181.6406	-61.715988
18184.5703	-61.715309
18187.5000	-61.713894
18190.4297	-61.714676
18193.3594	-61.713600
18196.2891	-61.707420
18199.2188	-61.705196
18202.1484	-61.705353
18205.0781	-61.701149
18208.0078	-61.696194
18210.9375	-61.689949
18213.8672	-61.681038
18216.7969	-61.671879
18219.7266	-61.664165
18222.6562	-61.659187
18225.5859	-61.654377
18228.5156	-61.649902
18231.4453	-61.646774
18234.3750	-61.642536
18237.3047	-61.636417
18240.2344	-61.631203
18243.1641	-61.626770
18246.0938	-61.621437
18249.0234	-61.616474
18251.9531	-61.613991
18254.8828	-61.613613
18257.8125	-61.610386
18260.7422	-61.605412
18263.6719	-61.599926
18266.6016	-61.592152
18269.5312	-61.588150
18272.4609	-61.588150
18275.3906	-61.585121
18278.3203	-61.578953
18281.2500	-61.575626
18284.1797	-61.574409
18287.1094	-61.570724
18290.0391	-61.568966
18292.9688	-61.571201
18295.8984	-61.572010
18298.8281	-61.568798
18301.7578	-61.562424
18304.6875	-61.562630
18307.6172	-61.563377
18310.5469	-61.560360
18313.4766	-61.565170
18316.4062	-61.568520
18319.3359	-61.566639
18322.2656	-61.565495
18325.1953	-61.565258
18328.1250	-61.566246
18331.0547	-61.568962
18333.9844	-61.565163
18336.9141	-61.553818
18339.8438	-61.541904
18342.7734	-61.530983
18345.7031	-61.524311
18348.6328	-61.520615
18351.5625	-61.512028
18354.4922	-61.497337
18357.4219	-61.485943
18360.3516	-61.479485
18363.2812	-61.472744
18366.2109	-61.466965
18369.1406	-61.460930
18372.0703	-61.452724
18375.0000	-61.444138
18377.9297	-61.438450
18380.8594	-61.432770
18383.7891	-61.422195
18386.7188	-61.415604
18389.6484	-61.411873
18392.5781	-61.406975
18395.5078	-61.405144
18398.4375	-61.399376
