;Freq(Hz)	Relative Amplitude (dB): Left
18418.9453	-95.326424
18421.8750	-95.364014
18424.8047	-95.337646
18427.7344	-95.374527
18430.6641	-95.430687
18433.5938	-95.454613
18436.5234	-95.432579
18439.4531	-95.396484
18442.3828	-95.384186
18445.3125	-95.391441
18448.2422	-95.423042
18451.1719	-95.474632
18454.1016	-95.488121
18457.0312	-95.454063
18459.9609	-95.412277
18462.8906	-95.375961
18465.8203	-95.358345
18468.7500	-95.317596
18471.6797	-95.302612
18474.6094	-95.308632
18477.5391	-95.262726
18480.4688	-95.242935
18483.3984	-95.307426
18486.3281	-95.358292
18489.2578	-95.351143
18492.1875	-95.331520
18495.1172	-95.337112
18498.0469	-95.357552
18500.9766	-95.360855
18503.9062	-95.337036
18506.8359	-95.332146
18509.7656	-95.386490
18512.6953	-95.410713
18515.6250	-95.369926
18518.5547	-95.310898
18521.4844	-95.304321
18524.4141	-95.363663
18527.3438	-95.396576
18530.2734	-95.395958
18533.2031	-95.389938
18536.1328	-95.364021
18539.0625	-95.315926
18541.9922	-95.321571
18544.9219	-95.368851
18547.8516	-95.370110
18550.7812	-95.362785
18553.7109	-95.343399
18556.6406	-95.294182
18559.5703	-95.320633
18562.5000	-95.391006
18565.4297	-95.417686
18568.3594	-95.416428
18571.2891	-95.407784
18574.2188	-95.387482
18577.1484	-95.349312
18580.0781	-95.373405
18583.0078	-95.492935
18585.9375	-95.575714
18588.8672	-95.575027
18591.7969	-95.563164
18594.7266	-95.587830
18597.6562	-95.650963
18600.5859	-95.741577
18603.5156	-95.811264
18606.4453	-95.847054
18609.3750	-95.920174
18612.3047	-96.050537
18615.2344	-96.151527
18618.1641	-96.235222
18621.0938	-96.363960
18624.0234	-96.537422
18626.9531	-96.736130
18629.8828	-96.850571
18632.8125	-96.901527
18635.7422	-97.034317
18638.6719	-97.100075
18641.6016	-97.045227
18644.5312	-97.027931
18647.4609	-96.999016
18650.3906	-96.944305
18653.3203	-96.864624
18656.2500	-96.808411
18659.1797	-96.840179
18662.1094	-96.808861
18665.0391	-96.696472
18667.9688	-96.618599
18670.8984	-96.555725
18673.8281	-96.490303
18676.7578	-96.450821
18679.6875	-96.469589
18682.6172	-96.478203
18685.5469	-96.451157
18688.4766	-96.435913
18691.4062	-96.421074
18694.3359	-96.437355
18697.2656	-96.480881
18700.1953	-96.465614
18703.1250	-96.396637
18706.0547	-96.354744
18708.9844	-96.350281
18711.9141	-96.307381
18714.8438	-96.223900
18717.7734	-96.177010
18720.7031	-96.125458
18723.6328	-96.005020
18726.5625	-95.936279
18729.4922	-95.953957
18732.4219	-95.928864
18735.3516	-95.893700
18738.2812	-95.893478
18741.2109	-95.887039
18744.1406	-95.880455
18747.0703	-95.844299
18750.0000	-95.845322
18752.9297	-95.846718
18755.8594	-95.807549
18758.7891	-95.771690
18761.7188	-95.738815
18764.6484	-95.762375
18767.5781	-95.793930
18770.5078	-95.743088
18773.4375	-95.714554
18776.3672	-95.753052
18779.2969	-95.757431
18782.2266	-95.727600
18785.1562	-95.739189
18788.0859	-95.782387
18791.0156	-95.839188
18793.9453	-95.873421
18796.8750	-95.873451
18799.8047	-95.900200
18802.7344	-95.906837
18805.6641	-95.878746
18808.5938	-95.893616
18811.5234	-95.871719
18814.4531	-95.847855
18817.3828	-95.868820
18820.3125	-95.801598
18823.2422	-95.754524
18826.1719	-95.779160
18829.1016	-95.752892
18832.0312	-95.718201
18834.9609	-95.676804
18837.8906	-95.609680
18840.8203	-95.607109
18843.7500	-95.653618
18846.6797	-95.640503
18849.6094	-95.613022
18852.5391	-95.616028
18855.4688	-95.602051
18858.3984	-95.597870
18861.3281	-95.626320
18864.2578	-95.626648
18867.1875	-95.599487
18870.1172	-95.566605
18873.0469	-95.548637
18875.9766	-95.529228
18878.9062	-95.490974
18881.8359	-95.465851
18884.7656	-95.463409
18887.6953	-95.484459
18890.6250	-95.500336
18893.5547	-95.500862
18896.4844	-95.495979
18899.4141	-95.496429
18902.3438	-95.518188
18905.2734	-95.534698
18908.2031	-95.530579
18911.1328	-95.537590
18914.0625	-95.575172
18916.9922	-95.568626
18919.9219	-95.497231
18922.8516	-95.458511
18925.7812	-95.439491
18928.7109	-95.442947
18931.6406	-95.499451
18934.5703	-95.548927
18937.5000	-95.589287
18940.4297	-95.623863
18943.3594	-95.623924
18946.2891	-95.603325
18949.2188	-95.582306
18952.1484	-95.589645
18955.0781	-95.594734
18958.0078	-95.590500
18960.9375	-95.628532
18963.8672	-95.620880
18966.7969	-95.565865
18969.7266	-95.539398
18972.6562	-95.550179
18975.5859	-95.534691
18978.5156	-95.484039
18981.4453	-95.522118
18984.3750	-95.596848
18987.3047	-95.613365
18990.2344	-95.602585
18993.1641	-95.587975
18996.0938	-95.612747
18999.0234	-95.655891
19001.9531	-95.658188
19004.8828	-95.679001
19007.8125	-95.723297
19010.7422	-95.709335
19013.6719	-95.674980
19016.6016	-95.694145
19019.5312	-95.710091
19022.4609	-95.735901
19025.3906	-95.805672
19028.3203	-95.832878
19031.2500	-95.855438
19034.1797	-95.912163
19037.1094	-95.949226
19040.0391	-95.950653
19042.9688	-95.970566
19045.8984	-96.011955
19048.8281	-96.004265
19051.7578	-96.006439
19054.6875	-96.031059
19057.6172	-96.029007
19060.5469	-96.028069
19063.4766	-96.041328
19066.4062	-96.069412
19069.3359	-96.078857
19072.2656	-96.090591
19075.1953	-96.138466
19078.1250	-96.139526
19081.0547	-96.098427
19083.9844	-96.115578
19086.9141	-96.148308
19089.8438	-96.159760
19092.7734	-96.198372
19095.7031	-96.201706
19098.6328	-96.177338
19101.5625	-96.224373
19104.4922	-96.259140
19107.4219	-96.194931
19110.3516	-96.170723
19113.2812	-96.246689
19116.2109	-96.302040
19119.1406	-96.296036
19122.0703	-96.292969
19125.0000	-96.237389
19127.9297	-96.151016
19130.8594	-96.192261
19133.7891	-96.288155
19136.7188	-96.323723
19139.6484	-96.322296
19142.5781	-96.318329
19145.5078	-96.321693
19148.4375	-96.356255
19151.3672	-96.403473
19154.2969	-96.424339
19157.2266	-96.448822
19160.1562	-96.496239
19163.0859	-96.503815
19166.0156	-96.524330
19168.9453	-96.550285
19171.8750	-96.509109
19174.8047	-96.508965
19177.7344	-96.533035
19180.6641	-96.518127
19183.5938	-96.540047
19186.5234	-96.562508
19189.4531	-96.570656
19192.3828	-96.569611
19195.3125	-96.562782
19198.2422	-96.593582
19201.1719	-96.627625
19204.1016	-96.650108
19207.0312	-96.620590
19209.9609	-96.622566
19212.8906	-96.725685
19215.8203	-96.776390
19218.7500	-96.743469
19221.6797	-96.712372
19224.6094	-96.753456
19227.5391	-96.787666
19230.4688	-96.778542
19233.3984	-96.851433
19236.3281	-96.899178
19239.2578	-96.814270
19242.1875	-96.787636
19245.1172	-96.810104
19248.0469	-96.784775
19250.9766	-96.775551
19253.9062	-96.753029
19256.8359	-96.734612
19259.7656	-96.709389
19262.6953	-96.711884
19265.6250	-96.775398
19268.5547	-96.741447
19271.4844	-96.643562
19274.4141	-96.594917
19277.3438	-96.601410
19280.2734	-96.626984
19283.2031	-96.638985
19286.1328	-96.675812
19289.0625	-96.712402
19291.9922	-96.737076
19294.9219	-96.745987
19297.8516	-96.712524
19300.7812	-96.694122
19303.7109	-96.691414
19306.6406	-96.684982
19309.5703	-96.711510
19312.5000	-96.688911
19315.4297	-96.661407
19318.3594	-96.698364
19321.2891	-96.660240
19324.2188	-96.611534
19327.1484	-96.656448
19330.0781	-96.710724
19333.0078	-96.750748
19335.9375	-96.762894
19338.8672	-96.710648
19341.7969	-96.681801
19344.7266	-96.674622
19347.6562	-96.630859
19350.5859	-96.617805
19353.5156	-96.670715
19356.4453	-96.722664
19359.3750	-96.739441
19362.3047	-96.813690
19365.2344	-96.865479
19368.1641	-96.809158
19371.0938	-96.762299
19374.0234	-96.740372
19376.9531	-96.724358
19379.8828	-96.707550
19382.8125	-96.703102
19385.7422	-96.697769
19388.6719	-96.686050
19391.6016	-96.755898
19394.5312	-96.809753
19397.4609	-96.742928
19400.3906	-96.692474
19403.3203	-96.715248
19406.2500	-96.749916
19409.1797	-96.757133
19412.1094	-96.690971
19415.0391	-96.625488
19417.9688	-96.618011
19420.8984	-96.619904
19423.8281	-96.632286
19426.7578	-96.615295
19429.6875	-96.546165
19432.6172	-96.479050
19435.5469	-96.437439
19438.4766	-96.439606
19441.4062	-96.482323
19444.3359	-96.496666
19447.2656	-96.490166
19450.1953	-96.458572
19453.1250	-96.441933
19456.0547	-96.467972
19458.9844	-96.441925
19461.9141	-96.401421
19464.8438	-96.449684
19467.7734	-96.512123
19470.7031	-96.501381
19473.6328	-96.500954
19476.5625	-96.527466
19479.4922	-96.492783
19482.4219	-96.423584
19485.3516	-96.352310
19488.2812	-96.363914
19491.2109	-96.462791
19494.1406	-96.499481
19497.0703	-96.484566
19500.0000	-96.500710
19502.9297	-96.550598
19505.8594	-96.596527
19508.7891	-96.600494
19511.7188	-96.575447
19514.6484	-96.572853
19517.5781	-96.615456
19520.5078	-96.644218
19523.4375	-96.655670
19526.3672	-96.680168
19529.2969	-96.718933
19532.2266	-96.800957
19535.1562	-96.874710
19538.0859	-96.869598
19541.0156	-96.858650
19543.9453	-96.864212
19546.8750	-96.884926
19549.8047	-96.969116
19552.7344	-97.022682
19555.6641	-97.047775
19558.5938	-97.113503
19561.5234	-97.164268
19564.4531	-97.142197
19567.3828	-97.151260
19570.3125	-97.209404
19573.2422	-97.208443
19576.1719	-97.140564
19579.1016	-97.108444
19582.0312	-97.151276
19584.9609	-97.247826
19587.8906	-97.355461
19590.8203	-97.389603
19593.7500	-97.319534
19596.6797	-97.230507
19599.6094	-97.209587
19602.5391	-97.282310
19605.4688	-97.442490
19608.3984	-97.582230
19611.3281	-97.631783
19614.2578	-97.671181
19617.1875	-97.685829
19620.1172	-97.603241
19623.0469	-97.510666
19625.9766	-97.549873
19628.9062	-97.663879
19631.8359	-97.777023
19634.7656	-97.913811
19637.6953	-97.956703
19640.6250	-97.855957
19643.5547	-97.749886
19646.4844	-97.750740
19649.4141	-97.757980
19652.3438	-97.733948
19655.2734	-97.706886
19658.2031	-97.769997
19661.1328	-97.925705
19664.0625	-98.050888
19666.9922	-98.120285
19669.9219	-98.186554
19672.8516	-98.257042
19675.7812	-98.339951
19678.7109	-98.468575
19681.6406	-98.519073
19684.5703	-98.513550
19687.5000	-98.605873
19690.4297	-98.747482
19693.3594	-98.782303
19696.2891	-98.735725
19699.2188	-98.732170
19702.1484	-98.720741
19705.0781	-98.674141
19708.0078	-98.649399
19710.9375	-98.593269
19713.8672	-98.443359
19716.7969	-98.296722
19719.7266	-98.086853
19722.6562	-97.749420
19725.5859	-97.344986
19728.5156	-96.856316
19731.4453	-96.398216
19734.3750	-96.035660
19737.3047	-95.683563
19740.2344	-95.257355
19743.1641	-94.717545
19746.0938	-94.117943
19749.0234	-93.480438
19751.9531	-92.817627
19754.8828	-92.161705
19757.8125	-91.437180
19760.7422	-90.653740
19763.6719	-89.852371
19766.6016	-89.005753
19769.5312	-88.117409
19772.4609	-87.195244
19775.3906	-86.241684
19778.3203	-85.212929
19781.2500	-84.086380
19784.1797	-82.912262
19787.1094	-81.732590
19790.0391	-80.580246
19792.9688	-79.520523
19795.8984	-78.641899
