;Freq(Hz)	Relative Amplitude (dB): Left
18445.3125	-86.246086
18448.2422	-86.273041
18451.1719	-86.299789
18454.1016	-86.267960
18457.0312	-86.255768
18459.9609	-86.290619
18462.8906	-86.297668
18465.8203	-86.289558
18468.7500	-86.323639
18471.6797	-86.319038
18474.6094	-86.271782
18477.5391	-86.265770
18480.4688	-86.267517
18483.3984	-86.283630
18486.3281	-86.339027
18489.2578	-86.373474
18492.1875	-86.358917
18495.1172	-86.353943
18498.0469	-86.384140
18500.9766	-86.387421
18503.9062	-86.358772
18506.8359	-86.335052
18509.7656	-86.326752
18512.6953	-86.346382
18515.6250	-86.388741
18518.5547	-86.419189
18521.4844	-86.407753
18524.4141	-86.402443
18527.3438	-86.429131
18530.2734	-86.457100
18533.2031	-86.472481
18536.1328	-86.472519
18539.0625	-86.472855
18541.9922	-86.471550
18544.9219	-86.464050
18547.8516	-86.490601
18550.7812	-86.548172
18553.7109	-86.564156
18556.6406	-86.549179
18559.5703	-86.566780
18562.5000	-86.581245
18565.4297	-86.587143
18568.3594	-86.602493
18571.2891	-86.585289
18574.2188	-86.567558
18577.1484	-86.611664
18580.0781	-86.648567
18583.0078	-86.641518
18585.9375	-86.644592
18588.8672	-86.648964
18591.7969	-86.653145
18594.7266	-86.658020
18597.6562	-86.690033
18600.5859	-86.747963
18603.5156	-86.770912
18606.4453	-86.795525
18609.3750	-86.820122
18612.3047	-86.797440
18615.2344	-86.801208
18618.1641	-86.826736
18621.0938	-86.825401
18624.0234	-86.837700
18626.9531	-86.874649
18629.8828	-86.879684
18632.8125	-86.890884
18635.7422	-86.906754
18638.6719	-86.855515
18641.6016	-86.849785
18644.5312	-86.919487
18647.4609	-86.946564
18650.3906	-86.919479
18653.3203	-86.870575
18656.2500	-86.851059
18659.1797	-86.902092
18662.1094	-86.941010
18665.0391	-86.929558
18667.9688	-86.921822
18670.8984	-86.928490
18673.8281	-86.910194
18676.7578	-86.901390
18679.6875	-86.906342
18682.6172	-86.906517
18685.5469	-86.928223
18688.4766	-86.948273
18691.4062	-86.921349
18694.3359	-86.931374
18697.2656	-86.985550
18700.1953	-86.981720
18703.1250	-86.933037
18706.0547	-86.932747
18708.9844	-86.975784
18711.9141	-86.975212
18714.8438	-86.995888
18717.7734	-87.050209
18720.7031	-87.052734
18723.6328	-87.023918
18726.5625	-86.998871
18729.4922	-86.987663
18732.4219	-87.021156
18735.3516	-87.065826
18738.2812	-87.059784
18741.2109	-87.033539
18744.1406	-87.024467
18747.0703	-87.023628
18750.0000	-87.040298
18752.9297	-87.076141
18755.8594	-87.096825
18758.7891	-87.088387
18761.7188	-87.070641
18764.6484	-87.075829
18767.5781	-87.101913
18770.5078	-87.135963
18773.4375	-87.152657
18776.3672	-87.136452
18779.2969	-87.138420
18782.2266	-87.154800
18785.1562	-87.160583
18788.0859	-87.180222
18791.0156	-87.179565
18793.9453	-87.185989
18796.8750	-87.208023
18799.8047	-87.183723
18802.7344	-87.196358
18805.6641	-87.258842
18808.5938	-87.267532
18811.5234	-87.247223
18814.4531	-87.257820
18817.3828	-87.259972
18820.3125	-87.258217
18823.2422	-87.255646
18826.1719	-87.255898
18829.1016	-87.304131
18832.0312	-87.336433
18834.9609	-87.309418
18837.8906	-87.307945
18840.8203	-87.352844
18843.7500	-87.377625
18846.6797	-87.378517
18849.6094	-87.413002
18852.5391	-87.454941
18855.4688	-87.442696
18858.3984	-87.429085
18861.3281	-87.453232
18864.2578	-87.475883
18867.1875	-87.471535
18870.1172	-87.453651
18873.0469	-87.467003
18875.9766	-87.490929
18878.9062	-87.478409
18881.8359	-87.480492
18884.7656	-87.527847
18887.6953	-87.573204
18890.6250	-87.583023
18893.5547	-87.574326
18896.4844	-87.597794
18899.4141	-87.636253
18902.3438	-87.617828
18905.2734	-87.590912
18908.2031	-87.618233
18911.1328	-87.652412
18914.0625	-87.666786
18916.9922	-87.677956
18919.9219	-87.707748
18922.8516	-87.718925
18925.7812	-87.709343
18928.7109	-87.747406
18931.6406	-87.780243
18934.5703	-87.774139
18937.5000	-87.783585
18940.4297	-87.782524
18943.3594	-87.781281
18946.2891	-87.799980
18949.2188	-87.809319
18952.1484	-87.827713
18955.0781	-87.850594
18958.0078	-87.856499
18960.9375	-87.896568
18963.8672	-87.970581
18966.7969	-87.978073
18969.7266	-88.007050
18972.6562	-88.039864
18975.5859	-88.008049
18978.5156	-88.039406
18981.4453	-88.031227
18984.3750	-88.060295
18987.3047	-88.080383
18990.2344	-88.047691
18993.1641	-88.086281
18996.0938	-88.095009
18999.0234	-88.090042
19001.9531	-88.106323
19004.8828	-88.093376
19007.8125	-88.091415
19010.7422	-88.108589
19013.6719	-88.108948
19016.6016	-88.130470
19019.5312	-88.136459
19022.4609	-88.132027
19025.3906	-88.099373
19028.3203	-88.054993
19031.2500	-88.099312
19034.1797	-88.150246
19037.1094	-88.174347
19040.0391	-88.224915
19042.9688	-88.293663
19045.8984	-88.338585
19048.8281	-88.316902
19051.7578	-88.280624
19054.6875	-88.277222
19057.6172	-88.274155
19060.5469	-88.280479
19063.4766	-88.278091
19066.4062	-88.310005
19069.3359	-88.369759
19072.2656	-88.346901
19075.1953	-88.282806
19078.1250	-88.272995
19081.0547	-88.353912
19083.9844	-88.423706
19086.9141	-88.395920
19089.8438	-88.413521
19092.7734	-88.476234
19095.7031	-88.500481
19098.6328	-88.528610
19101.5625	-88.518806
19104.4922	-88.470894
19107.4219	-88.453659
19110.3516	-88.467644
19113.2812	-88.522575
19116.2109	-88.515526
19119.1406	-88.447975
19122.0703	-88.472992
19125.0000	-88.518997
19127.9297	-88.510445
19130.8594	-88.530663
19133.7891	-88.621078
19136.7188	-88.665756
19139.6484	-88.664818
19142.5781	-88.715401
19145.5078	-88.755264
19148.4375	-88.773651
19151.3672	-88.775101
19154.2969	-88.771172
19157.2266	-88.756996
19160.1562	-88.726357
19163.0859	-88.748314
19166.0156	-88.818565
19168.9453	-88.867134
19171.8750	-88.877808
19174.8047	-88.854218
19177.7344	-88.854286
19180.6641	-88.891136
19183.5938	-88.912437
19186.5234	-88.947739
19189.4531	-89.033142
19192.3828	-89.092857
19195.3125	-89.064796
19198.2422	-89.055405
19201.1719	-89.060036
19204.1016	-89.012772
19207.0312	-89.029243
19209.9609	-89.051018
19212.8906	-89.023911
19215.8203	-89.031372
19218.7500	-89.098778
19221.6797	-89.207016
19224.6094	-89.238190
19227.5391	-89.217285
19230.4688	-89.245148
19233.3984	-89.280739
19236.3281	-89.268135
19239.2578	-89.280365
19242.1875	-89.329994
19245.1172	-89.378510
19248.0469	-89.410309
19250.9766	-89.399811
19253.9062	-89.408058
19256.8359	-89.422554
19259.7656	-89.438812
19262.6953	-89.460861
19265.6250	-89.473358
19268.5547	-89.547272
19271.4844	-89.651161
19274.4141	-89.654808
19277.3438	-89.590569
19280.2734	-89.588982
19283.2031	-89.654816
19286.1328	-89.691307
19289.0625	-89.702065
19291.9922	-89.721123
19294.9219	-89.684410
19297.8516	-89.727203
19300.7812	-89.831215
19303.7109	-89.811256
