;Freq(Hz)	Relative Amplitude (dB): Left
18342.7734	-92.043518
18345.7031	-91.866669
18348.6328	-91.772934
18351.5625	-91.768181
18354.4922	-91.834122
18357.4219	-91.846947
18360.3516	-91.870110
18363.2812	-91.851585
18366.2109	-91.797455
18369.1406	-91.841637
18372.0703	-91.890266
18375.0000	-91.865089
18377.9297	-91.861259
18380.8594	-91.931618
18383.7891	-91.983131
18386.7188	-91.994965
18389.6484	-91.982292
18392.5781	-91.951141
18395.5078	-91.911316
18398.4375	-91.925011
18401.3672	-91.989098
18404.2969	-91.989853
18407.2266	-91.958008
18410.1562	-91.979393
18413.0859	-92.052124
18416.0156	-92.081398
18418.9453	-92.004524
18421.8750	-91.996750
18424.8047	-92.083923
18427.7344	-92.080513
18430.6641	-92.071938
18433.5938	-92.134369
18436.5234	-92.055504
18439.4531	-91.914391
18442.3828	-92.011047
18445.3125	-92.207520
18448.2422	-92.304848
18451.1719	-92.281494
18454.1016	-92.232025
18457.0312	-92.253586
18459.9609	-92.307289
18462.8906	-92.310196
18465.8203	-92.277847
18468.7500	-92.335030
18471.6797	-92.384338
18474.6094	-92.368416
18477.5391	-92.363663
18480.4688	-92.383194
18483.3984	-92.389824
18486.3281	-92.404922
18489.2578	-92.405678
18492.1875	-92.342209
18495.1172	-92.356384
18498.0469	-92.462318
18500.9766	-92.525261
18503.9062	-92.582748
18506.8359	-92.592148
18509.7656	-92.541878
18512.6953	-92.466225
18515.6250	-92.452751
18518.5547	-92.531097
18521.4844	-92.561005
18524.4141	-92.534950
18527.3438	-92.598717
18530.2734	-92.626678
18533.2031	-92.563835
18536.1328	-92.501289
18539.0625	-92.396637
18541.9922	-92.447105
18544.9219	-92.563477
18547.8516	-92.605377
18550.7812	-92.683083
18553.7109	-92.699562
18556.6406	-92.695320
18559.5703	-92.744965
18562.5000	-92.756119
18565.4297	-92.741951
18568.3594	-92.803360
18571.2891	-92.815353
18574.2188	-92.721336
18577.1484	-92.720573
18580.0781	-92.790779
18583.0078	-92.795456
18585.9375	-92.833527
18588.8672	-92.981590
18591.7969	-92.985695
18594.7266	-92.861206
18597.6562	-92.868378
18600.5859	-92.904297
18603.5156	-92.931053
18606.4453	-92.963112
18609.3750	-92.945610
18612.3047	-92.947464
18615.2344	-92.990082
18618.1641	-92.987442
18621.0938	-92.933617
18624.0234	-92.949303
18626.9531	-93.068916
18629.8828	-93.157753
18632.8125	-93.162827
18635.7422	-93.092514
18638.6719	-92.911537
18641.6016	-92.875687
18644.5312	-93.039322
18647.4609	-93.100357
18650.3906	-93.029861
18653.3203	-93.055603
18656.2500	-93.193176
18659.1797	-93.249397
18662.1094	-93.230240
18665.0391	-93.216164
18667.9688	-93.235390
18670.8984	-93.235825
18673.8281	-93.227058
18676.7578	-93.230064
18679.6875	-93.230721
18682.6172	-93.198608
18685.5469	-93.222038
18688.4766	-93.404160
18691.4062	-93.545364
18694.3359	-93.538902
18697.2656	-93.471672
18700.1953	-93.389626
18703.1250	-93.368599
18706.0547	-93.438217
18708.9844	-93.464417
18711.9141	-93.449944
18714.8438	-93.433273
18717.7734	-93.443611
18720.7031	-93.530312
18723.6328	-93.552200
18726.5625	-93.572411
18729.4922	-93.632164
18732.4219	-93.641846
18735.3516	-93.615173
18738.2812	-93.426071
18741.2109	-93.341827
18744.1406	-93.557121
18747.0703	-93.655663
18750.0000	-93.639671
18752.9297	-93.645462
18755.8594	-93.658180
18758.7891	-93.708755
18761.7188	-93.802849
18764.6484	-93.910149
18767.5781	-93.943901
18770.5078	-93.915382
18773.4375	-93.922646
18776.3672	-93.966011
18779.2969	-93.967018
18782.2266	-93.885048
18785.1562	-93.856018
18788.0859	-93.996704
18791.0156	-94.157898
18793.9453	-94.149078
18796.8750	-94.069298
18799.8047	-94.074562
18802.7344	-94.055756
18805.6641	-94.042839
18808.5938	-94.123039
18811.5234	-94.153488
18814.4531	-94.063469
18817.3828	-94.047676
18820.3125	-94.149315
18823.2422	-94.233253
18826.1719	-94.279945
18829.1016	-94.317116
18832.0312	-94.331985
18834.9609	-94.304192
18837.8906	-94.353218
18840.8203	-94.412621
18843.7500	-94.381119
18846.6797	-94.418640
18849.6094	-94.491814
18852.5391	-94.415863
18855.4688	-94.313873
18858.3984	-94.381279
18861.3281	-94.485596
18864.2578	-94.470383
18867.1875	-94.480629
18870.1172	-94.566360
18873.0469	-94.589714
18875.9766	-94.545914
18878.9062	-94.548691
18881.8359	-94.638779
18884.7656	-94.697128
18887.6953	-94.608330
18890.6250	-94.497559
18893.5547	-94.465828
18896.4844	-94.492615
18899.4141	-94.601105
18902.3438	-94.715927
18905.2734	-94.768814
18908.2031	-94.760628
