;Freq(Hz)	Relative Amplitude (dB): Left
18949.2188	-79.913551
18952.1484	-79.906609
18955.0781	-79.922531
18958.0078	-79.982948
18960.9375	-80.035210
18963.8672	-80.093399
18966.7969	-80.133667
18969.7266	-80.132835
18972.6562	-80.139999
18975.5859	-80.170677
18978.5156	-80.197182
18981.4453	-80.219856
18984.3750	-80.270012
18987.3047	-80.313004
18990.2344	-80.335045
18993.1641	-80.373894
18996.0938	-80.381660
18999.0234	-80.362320
19001.9531	-80.394493
19004.8828	-80.446640
19007.8125	-80.467377
19010.7422	-80.493988
19013.6719	-80.557121
19016.6016	-80.627167
19019.5312	-80.690224
19022.4609	-80.734009
19025.3906	-80.735359
19028.3203	-80.746132
19031.2500	-80.806427
19034.1797	-80.883163
19037.1094	-80.944328
19040.0391	-80.960892
19042.9688	-80.961548
19045.8984	-80.980278
19048.8281	-80.978477
19051.7578	-80.988785
19054.6875	-81.062119
19057.6172	-81.167717
19060.5469	-81.217522
19063.4766	-81.203918
19066.4062	-81.226898
19069.3359	-81.292427
19072.2656	-81.356743
19075.1953	-81.394753
19078.1250	-81.382294
19081.0547	-81.400978
19083.9844	-81.438698
19086.9141	-81.451065
19089.8438	-81.498611
19092.7734	-81.552856
19095.7031	-81.615929
19098.6328	-81.684204
19101.5625	-81.696793
19104.4922	-81.716469
19107.4219	-81.760864
19110.3516	-81.828857
19113.2812	-81.895966
19116.2109	-81.893600
19119.1406	-81.866310
19122.0703	-81.895081
19125.0000	-81.969978
19127.9297	-82.046623
19130.8594	-82.076912
19133.7891	-82.068779
19136.7188	-82.104401
19139.6484	-82.138474
19142.5781	-82.149506
19145.5078	-82.215408
19148.4375	-82.295746
19151.3672	-82.341339
19154.2969	-82.377991
19157.2266	-82.404564
19160.1562	-82.432732
19163.0859	-82.478378
19166.0156	-82.519630
19168.9453	-82.591507
19171.8750	-82.639610
19174.8047	-82.633919
19177.7344	-82.685715
19180.6641	-82.767517
19183.5938	-82.801704
19186.5234	-82.817406
19189.4531	-82.850838
19192.3828	-82.890266
19195.3125	-82.957588
19198.2422	-83.067261
19201.1719	-83.127930
19204.1016	-83.139702
19207.0312	-83.193367
19209.9609	-83.248245
19212.8906	-83.276840
19215.8203	-83.341354
19218.7500	-83.385742
19221.6797	-83.393867
19224.6094	-83.426231
19227.5391	-83.478920
19230.4688	-83.538124
19233.3984	-83.568848
19236.3281	-83.609634
19239.2578	-83.707382
19242.1875	-83.785629
19245.1172	-83.809135
19248.0469	-83.875267
19250.9766	-83.983658
19253.9062	-84.073586
19256.8359	-84.143410
19259.7656	-84.202240
19262.6953	-84.285629
19265.6250	-84.369293
19268.5547	-84.422783
19271.4844	-84.458435
19274.4141	-84.499847
19277.3438	-84.594437
19280.2734	-84.698395
19283.2031	-84.778542
19286.1328	-84.829788
19289.0625	-84.856308
19291.9922	-84.938980
19294.9219	-85.025764
19297.8516	-85.087090
19300.7812	-85.156059
19303.7109	-85.240341
19306.6406	-85.333931
19309.5703	-85.407288
19312.5000	-85.504845
19315.4297	-85.594063
19318.3594	-85.666306
19321.2891	-85.763611
19324.2188	-85.821220
19327.1484	-85.869469
19330.0781	-85.972183
19333.0078	-86.083794
19335.9375	-86.206558
19338.8672	-86.297043
19341.7969	-86.325035
19344.7266	-86.337212
19347.6562	-86.414040
19350.5859	-86.599052
19353.5156	-86.688187
19356.4453	-86.734833
19359.3750	-86.899742
19362.3047	-86.987732
19365.2344	-86.982384
19368.1641	-87.025528
19371.0938	-87.102127
19374.0234	-87.116539
19376.9531	-87.115456
19379.8828	-87.200699
19382.8125	-87.239410
19385.7422	-87.242645
19388.6719	-87.275681
19391.6016	-87.257881
19394.5312	-87.291985
19397.4609	-87.384712
19400.3906	-87.488052
19403.3203	-87.514397
19406.2500	-87.477615
19409.1797	-87.484398
19412.1094	-87.506805
19415.0391	-87.598946
19417.9688	-87.741615
19420.8984	-87.794800
19423.8281	-87.823303
19426.7578	-87.948288
19429.6875	-88.065262
19432.6172	-88.124046
19435.5469	-88.220245
19438.4766	-88.379051
19441.4062	-88.549675
19444.3359	-88.599419
19447.2656	-88.579018
19450.1953	-88.663422
19453.1250	-88.762703
19456.0547	-88.806793
19458.9844	-88.880905
19461.9141	-88.974693
19464.8438	-89.039276
19467.7734	-89.160904
19470.7031	-89.332993
19473.6328	-89.360611
19476.5625	-89.330681
19479.4922	-89.457565
19482.4219	-89.602150
19485.3516	-89.725609
19488.2812	-89.951012
19491.2109	-90.100731
19494.1406	-90.195801
19497.0703	-90.412971
19500.0000	-90.544716
19502.9297	-90.549118
19505.8594	-90.661438
19508.7891	-90.842064
19511.7188	-90.981316
19514.6484	-91.077995
19517.5781	-91.291176
19520.5078	-91.588547
19523.4375	-91.649933
19526.3672	-91.643539
19529.2969	-91.885216
19532.2266	-92.071022
19535.1562	-92.200577
19538.0859	-92.509491
19541.0156	-92.786873
19543.9453	-92.877548
19546.8750	-92.979233
19549.8047	-93.200134
19552.7344	-93.413277
19555.6641	-93.573654
19558.5938	-93.668579
19561.5234	-93.806763
19564.4531	-94.066574
19567.3828	-94.335266
19570.3125	-94.547203
19573.2422	-94.843170
19576.1719	-95.136169
19579.1016	-95.446404
19582.0312	-95.801338
19584.9609	-95.999084
19587.8906	-96.130272
19590.8203	-96.274734
19593.7500	-96.630875
19596.6797	-97.067078
19599.6094	-97.326790
19602.5391	-97.791573
19605.4688	-98.365463
19608.3984	-98.807083
19611.3281	-99.324455
19614.2578	-99.662041
19617.1875	-99.662949
19620.1172	-100.165802
19623.0469	-100.859192
19625.9766	-101.222496
19628.9062	-101.717361
19631.8359	-102.055237
19634.7656	-102.414833
19637.6953	-103.070129
19640.6250	-104.046051
19643.5547	-105.004456
19646.4844	-105.841957
19649.4141	-106.333008
19652.3438	-106.833038
19655.2734	-108.130211
19658.2031	-110.608246
19661.1328	-113.024208
19664.0625	-114.468300
19666.9922	-117.707481
19669.9219	-120.602661
19672.8516	-121.326469
19675.7812	-118.427315
19678.7109	-118.718452
19681.6406	-121.843452
19684.5703	-115.305946
19687.5000	-111.978111
19690.4297	-111.198524
19693.3594	-109.685638
19696.2891	-107.656204
19699.2188	-107.034157
19702.1484	-106.694420
19705.0781	-105.889427
19708.0078	-105.254227
19710.9375	-104.342781
19713.8672	-103.342987
19716.7969	-102.674263
19719.7266	-101.852234
19722.6562	-101.166710
19725.5859	-100.547943
19728.5156	-99.990860
19731.4453	-99.764305
19734.3750	-99.394440
19737.3047	-98.791801
19740.2344	-98.241180
19743.1641	-97.959724
19746.0938	-97.710770
19749.0234	-97.358749
19751.9531	-96.975136
19754.8828	-96.614502
19757.8125	-96.219254
19760.7422	-95.870377
19763.6719	-95.713539
19766.6016	-95.443428
19769.5312	-95.089005
19772.4609	-94.861855
19775.3906	-94.651649
19778.3203	-94.348427
19781.2500	-94.032249
19784.1797	-93.865265
19787.1094	-93.543335
19790.0391	-93.198059
19792.9688	-93.121574
19795.8984	-92.982422
19798.8281	-92.668808
19801.7578	-92.408524
19804.6875	-92.237595
19807.6172	-92.076782
19810.5469	-91.859604
19813.4766	-91.634171
19816.4062	-91.460625
19819.3359	-91.295982
19822.2656	-91.083450
19825.1953	-90.775520
19828.1250	-90.493668
19831.0547	-90.258926
19833.9844	-90.113792
19836.9141	-90.101265
19839.8438	-90.075394
19842.7734	-90.029907
19845.7031	-89.878815
19848.6328	-89.642601
19851.5625	-89.454414
19854.4922	-89.242973
19857.4219	-89.044708
19860.3516	-88.908676
19863.2812	-88.807930
19866.2109	-88.688667
19869.1406	-88.519356
19872.0703	-88.409348
19875.0000	-88.269424
19877.9297	-88.050690
19880.8594	-87.839378
19883.7891	-87.698677
19886.7188	-87.615227
19889.6484	-87.506187
19892.5781	-87.392883
19895.5078	-87.291206
19898.4375	-87.128754
19901.3672	-87.014130
19904.2969	-86.961479
19907.2266	-86.799232
