;Freq(Hz)	Relative Amplitude (dB): Left
17979.4922	-81.352600
17982.4219	-81.354004
17985.3516	-81.370262
17988.2812	-81.403755
17991.2109	-81.400391
17994.1406	-81.406235
17997.0703	-81.469612
18000.0000	-81.583389
18002.9297	-81.658569
18005.8594	-81.601395
18008.7891	-81.517059
18011.7188	-81.520164
18014.6484	-81.553741
18017.5781	-81.559258
18020.5078	-81.550201
18023.4375	-81.550911
18026.3672	-81.568222
18029.2969	-81.597862
18032.2266	-81.605583
18035.1562	-81.627861
18038.0859	-81.642349
18041.0156	-81.648651
18043.9453	-81.594368
18046.8750	-81.573555
18049.8047	-81.577118
18052.7344	-81.583122
18055.6641	-81.629318
18058.5938	-81.620987
18061.5234	-81.628448
18064.4531	-81.623428
18067.3828	-81.584801
18070.3125	-81.578056
18073.2422	-81.574318
18076.1719	-81.594757
18079.1016	-81.625702
18082.0312	-81.613846
18084.9609	-81.626686
18087.8906	-81.662376
18090.8203	-81.651199
18093.7500	-81.621178
18096.6797	-81.665245
18099.6094	-81.758018
18102.5391	-81.804344
18105.4688	-81.769211
18108.3984	-81.690102
18111.3281	-81.632515
18114.2578	-81.645164
18117.1875	-81.654701
18120.1172	-81.663116
18123.0469	-81.723450
18125.9766	-81.728294
18128.9062	-81.697327
18131.8359	-81.703285
18134.7656	-81.719131
18137.6953	-81.713028
18140.6250	-81.677803
18143.5547	-81.717941
18146.4844	-81.769310
18149.4141	-81.734566
18152.3438	-81.723389
18155.2734	-81.742279
18158.2031	-81.784531
18161.1328	-81.817062
18164.0625	-81.815948
18166.9922	-81.797302
18169.9219	-81.749619
18172.8516	-81.739799
18175.7812	-81.775833
18178.7109	-81.807732
18181.6406	-81.831558
18184.5703	-81.851540
18187.5000	-81.856689
18190.4297	-81.867798
18193.3594	-81.868217
18196.2891	-81.875099
18199.2188	-81.875427
18202.1484	-81.790405
18205.0781	-81.795303
18208.0078	-81.884216
18210.9375	-81.916977
18213.8672	-81.911957
18216.7969	-81.892143
18219.7266	-81.903419
18222.6562	-81.934647
18225.5859	-81.933502
18228.5156	-81.933083
18231.4453	-81.957367
18234.3750	-81.996162
18237.3047	-82.032455
18240.2344	-82.009460
18243.1641	-81.977425
18246.0938	-82.001656
18249.0234	-82.080147
18251.9531	-82.147148
18254.8828	-82.089165
18257.8125	-82.006264
18260.7422	-82.018791
18263.6719	-82.059456
18266.6016	-82.120415
18269.5312	-82.144318
18272.4609	-82.084671
18275.3906	-82.072350
18278.3203	-82.102341
18281.2500	-82.101547
18284.1797	-82.108276
18287.1094	-82.138031
18290.0391	-82.151337
18292.9688	-82.167259
18295.8984	-82.197639
18298.8281	-82.235970
18301.7578	-82.289665
18304.6875	-82.321213
18307.6172	-82.295547
18310.5469	-82.233620
18313.4766	-82.219078
18316.4062	-82.249084
18319.3359	-82.241966
18322.2656	-82.237000
18325.1953	-82.263603
18328.1250	-82.302170
18331.0547	-82.316002
18333.9844	-82.289505
18336.9141	-82.268211
18339.8438	-82.292595
18342.7734	-82.305588
18345.7031	-82.345314
18348.6328	-82.423042
18351.5625	-82.495705
18354.4922	-82.500862
18357.4219	-82.454735
18360.3516	-82.401924
18363.2812	-82.381310
18366.2109	-82.420143
18369.1406	-82.433922
18372.0703	-82.421494
18375.0000	-82.439674
18377.9297	-82.418640
18380.8594	-82.381584
18383.7891	-82.397621
18386.7188	-82.438576
18389.6484	-82.491783
18392.5781	-82.491486
18395.5078	-82.469681
18398.4375	-82.491028
18401.3672	-82.439278
18404.2969	-82.396950
18407.2266	-82.469292
18410.1562	-82.536217
18413.0859	-82.538727
18416.0156	-82.515884
18418.9453	-82.547279
18421.8750	-82.589737
18424.8047	-82.581810
18427.7344	-82.566765
18430.6641	-82.562706
18433.5938	-82.560974
18436.5234	-82.547615
18439.4531	-82.580673
18442.3828	-82.656090
18445.3125	-82.671616
18448.2422	-82.680389
18451.1719	-82.697304
18454.1016	-82.637283
18457.0312	-82.605804
18459.9609	-82.648232
18462.8906	-82.685440
18465.8203	-82.712105
18468.7500	-82.697540
18471.6797	-82.680229
18474.6094	-82.739815
18477.5391	-82.811089
18480.4688	-82.845222
18483.3984	-82.848549
18486.3281	-82.815956
18489.2578	-82.784256
18492.1875	-82.780014
18495.1172	-82.824669
18498.0469	-82.876274
18500.9766	-82.811859
18503.9062	-82.791122
18506.8359	-82.919586
18509.7656	-83.000183
18512.6953	-82.999069
18515.6250	-82.971390
18518.5547	-82.996750
18521.4844	-83.018478
18524.4141	-82.976814
18527.3438	-82.979630
18530.2734	-82.975937
18533.2031	-82.920525
18536.1328	-82.962906
18539.0625	-83.010658
18541.9922	-82.998413
18544.9219	-83.027718
18547.8516	-83.086090
18550.7812	-83.022850
18553.7109	-82.914276
18556.6406	-83.012764
18559.5703	-83.094818
18562.5000	-83.064034
18565.4297	-83.091347
18568.3594	-83.132256
18571.2891	-83.170242
18574.2188	-83.197716
18577.1484	-83.195869
18580.0781	-83.200813
18583.0078	-83.227264
18585.9375	-83.215599
18588.8672	-83.180092
18591.7969	-83.201149
18594.7266	-83.237923
18597.6562	-83.229897
18600.5859	-83.187790
18603.5156	-83.171326
18606.4453	-83.202141
18609.3750	-83.215279
18612.3047	-83.239372
18615.2344	-83.308388
18618.1641	-83.330566
18621.0938	-83.319160
18624.0234	-83.346275
18626.9531	-83.365944
18629.8828	-83.364006
18632.8125	-83.405350
18635.7422	-83.445007
18638.6719	-83.437454
18641.6016	-83.439514
18644.5312	-83.467468
18647.4609	-83.471878
18650.3906	-83.534950
18653.3203	-83.665161
18656.2500	-83.656693
18659.1797	-83.613754
18662.1094	-83.613052
18665.0391	-83.609230
18667.9688	-83.654144
18670.8984	-83.666985
18673.8281	-83.640709
18676.7578	-83.648361
18679.6875	-83.633881
18682.6172	-83.668228
18685.5469	-83.714294
18688.4766	-83.674683
18691.4062	-83.687798
18694.3359	-83.743782
18697.2656	-83.786049
18700.1953	-83.684853
18703.1250	-83.570000
18706.0547	-83.683868
18708.9844	-83.800323
18711.9141	-83.834511
18714.8438	-83.856003
18717.7734	-83.804253
18720.7031	-83.768532
18723.6328	-83.842018
18726.5625	-83.966248
18729.4922	-83.970116
18732.4219	-83.890007
18735.3516	-83.896690
18738.2812	-83.938774
18741.2109	-83.994225
18744.1406	-84.024864
18747.0703	-84.023918
18750.0000	-84.065956
18752.9297	-84.085281
18755.8594	-84.056122
18758.7891	-84.057655
18761.7188	-84.028671
18764.6484	-83.987381
18767.5781	-84.040604
18770.5078	-84.118515
18773.4375	-84.160645
18776.3672	-84.190331
18779.2969	-84.153000
18782.2266	-84.106567
18785.1562	-84.178444
18788.0859	-84.194016
18791.0156	-84.161568
18793.9453	-84.192307
