;Freq(Hz)	Relative Amplitude (dB): Left
17979.4922	-62.044056
17982.4219	-62.038044
17985.3516	-62.033165
17988.2812	-62.028999
17991.2109	-62.025017
17994.1406	-62.022236
17997.0703	-62.019028
18000.0000	-62.014397
18002.9297	-62.010590
18005.8594	-62.004013
18008.7891	-61.997337
18011.7188	-61.993687
18014.6484	-61.988918
18017.5781	-61.987011
18020.5078	-61.987556
18023.4375	-61.987579
18026.3672	-61.987434
18029.2969	-61.983894
18032.2266	-61.979244
18035.1562	-61.975071
18038.0859	-61.967400
18041.0156	-61.959106
18043.9453	-61.952602
18046.8750	-61.944279
18049.8047	-61.935795
18052.7344	-61.932682
18055.6641	-61.928818
18058.5938	-61.923538
18061.5234	-61.920193
18064.4531	-61.913776
18067.3828	-61.909420
18070.3125	-61.906357
18073.2422	-61.901638
18076.1719	-61.897667
18079.1016	-61.894093
18082.0312	-61.893177
18084.9609	-61.887554
18087.8906	-61.877136
18090.8203	-61.874229
18093.7500	-61.873379
18096.6797	-61.866970
18099.6094	-61.862686
18102.5391	-61.860806
18105.4688	-61.854511
18108.3984	-61.849533
18111.3281	-61.850128
18114.2578	-61.849503
18117.1875	-61.847511
18120.1172	-61.849247
18123.0469	-61.850136
18125.9766	-61.845650
18128.9062	-61.842098
18131.8359	-61.842117
18134.7656	-61.841087
18137.6953	-61.840401
18140.6250	-61.843422
18143.5547	-61.845196
18146.4844	-61.843086
18149.4141	-61.842205
18152.3438	-61.845989
18155.2734	-61.847889
18158.2031	-61.846436
18161.1328	-61.842781
18164.0625	-61.835373
18166.9922	-61.825626
18169.9219	-61.813812
18172.8516	-61.803444
18175.7812	-61.794300
18178.7109	-61.785107
18181.6406	-61.778709
18184.5703	-61.770596
18187.5000	-61.758884
18190.4297	-61.749939
18193.3594	-61.742744
18196.2891	-61.735676
18199.2188	-61.730576
18202.1484	-61.724167
18205.0781	-61.716450
18208.0078	-61.711761
18210.9375	-61.709396
18213.8672	-61.702641
18216.7969	-61.693821
18219.7266	-61.686874
18222.6562	-61.681789
18225.5859	-61.678295
18228.5156	-61.672176
18231.4453	-61.667141
18234.3750	-61.665825
18237.3047	-61.662422
18240.2344	-61.656170
18243.1641	-61.649525
18246.0938	-61.643475
18249.0234	-61.638786
18251.9531	-61.636082
18254.8828	-61.634789
18257.8125	-61.632420
18260.7422	-61.626118
18263.6719	-61.618469
18266.6016	-61.615173
18269.5312	-61.615143
18272.4609	-61.612694
18275.3906	-61.606098
18278.3203	-61.602779
18281.2500	-61.604839
18284.1797	-61.603912
18287.1094	-61.599022
18290.0391	-61.594345
18292.9688	-61.593857
18295.8984	-61.598179
18298.8281	-61.598595
18301.7578	-61.592442
18304.6875	-61.589058
18307.6172	-61.588661
18310.5469	-61.587864
18313.4766	-61.589905
18316.4062	-61.591572
18319.3359	-61.591583
18322.2656	-61.591934
18325.1953	-61.590263
18328.1250	-61.589367
18331.0547	-61.593124
18333.9844	-61.586704
18336.9141	-61.575146
18339.8438	-61.562992
18342.7734	-61.551956
18345.7031	-61.539955
18348.6328	-61.531452
18351.5625	-61.523396
18354.4922	-61.514774
18357.4219	-61.506248
18360.3516	-61.495205
18363.2812	-61.487392
18366.2109	-61.484676
18369.1406	-61.481731
18372.0703	-61.475712
18375.0000	-61.467422
18377.9297	-61.460846
18380.8594	-61.454288
18383.7891	-61.444195
18386.7188	-61.437393
18389.6484	-61.437016
18392.5781	-61.434685
18395.5078	-61.427399
18398.4375	-61.420017
18401.3672	-61.415405
18404.2969	-61.412128
18407.2266	-61.406586
18410.1562	-61.399670
18413.0859	-61.393085
18416.0156	-61.386452
18418.9453	-61.381893
18421.8750	-61.381207
18424.8047	-61.380726
18427.7344	-61.375572
18430.6641	-61.367535
18433.5938	-61.361759
18436.5234	-61.358368
18439.4531	-61.356903
18442.3828	-61.354549
18445.3125	-61.348888
18448.2422	-61.346130
18451.1719	-61.342186
18454.1016	-61.337891
18457.0312	-61.342621
18459.9609	-61.346722
18462.8906	-61.343864
18465.8203	-61.340027
18468.7500	-61.338078
18471.6797	-61.338955
18474.6094	-61.338795
18477.5391	-61.337193
18480.4688	-61.337746
18483.3984	-61.336639
18486.3281	-61.334892
18489.2578	-61.337505
18492.1875	-61.340046
18495.1172	-61.340069
18498.0469	-61.340942
18500.9766	-61.340202
18503.9062	-61.342476
18506.8359	-61.339966
18509.7656	-61.330784
18512.6953	-61.315441
18515.6250	-61.303490
18518.5547	-61.295704
18521.4844	-61.289886
18524.4141	-61.283859
18527.3438	-61.279984
18530.2734	-61.275021
18533.2031	-61.265560
18536.1328	-61.257214
18539.0625	-61.249672
18541.9922	-61.242687
18544.9219	-61.237148
18547.8516	-61.233204
18550.7812	-61.229694
18553.7109	-61.218632
18556.6406	-61.206951
18559.5703	-61.205105
18562.5000	-61.206013
18565.4297	-61.201889
18568.3594	-61.196045
18571.2891	-61.192966
18574.2188	-61.189983
18577.1484	-61.185390
18580.0781	-61.180214
18583.0078	-61.174301
18585.9375	-61.169502
18588.8672	-61.166660
18591.7969	-61.165649
18594.7266	-61.160927
18597.6562	-61.152905
18600.5859	-61.147762
18603.5156	-61.144020
18606.4453	-61.141960
18609.3750	-61.139652
18612.3047	-61.135727
18615.2344	-61.130295
18618.1641	-61.124928
18621.0938	-61.122059
18624.0234	-61.119152
18626.9531	-61.117676
18629.8828	-61.117905
18632.8125	-61.114761
18635.7422	-61.105759
18638.6719	-61.097641
18641.6016	-61.092552
18644.5312	-61.090405
18647.4609	-61.085026
18650.3906	-61.077271
18653.3203	-61.069412
18656.2500	-61.061661
18659.1797	-61.055687
18662.1094	-61.051640
18665.0391	-61.048225
18667.9688	-61.039669
18670.8984	-61.030571
18673.8281	-61.026615
18676.7578	-61.023148
18679.6875	-61.020351
18682.6172	-61.016911
18685.5469	-61.013794
18688.4766	-61.012909
18691.4062	-61.012810
18694.3359	-61.012192
18697.2656	-61.009212
18700.1953	-61.005795
18703.1250	-61.002377
18706.0547	-61.002037
18708.9844	-61.007698
18711.9141	-61.013710
18714.8438	-61.015411
18717.7734	-61.015808
18720.7031	-61.019417
18723.6328	-61.023598
18726.5625	-61.026756
18729.4922	-61.031902
18732.4219	-61.037735
18735.3516	-61.041733
18738.2812	-61.049175
18741.2109	-61.062492
18744.1406	-61.076481
18747.0703	-61.087315
18750.0000	-61.092091
18752.9297	-61.097523
18755.8594	-61.112305
18758.7891	-61.130745
18761.7188	-61.142300
18764.6484	-61.146378
18767.5781	-61.150684
18770.5078	-61.153927
18773.4375	-61.158516
18776.3672	-61.160229
18779.2969	-61.161163
18782.2266	-61.164177
18785.1562	-61.164158
18788.0859	-61.163937
18791.0156	-61.164951
18793.9453	-61.163879
18796.8750	-61.160686
18799.8047	-61.158897
18802.7344	-61.160881
18805.6641	-61.161304
18808.5938	-61.155407
18811.5234	-61.151485
18814.4531	-61.151764
18817.3828	-61.146782
18820.3125	-61.139687
18823.2422	-61.137501
18826.1719	-61.136189
18829.1016	-61.131466
18832.0312	-61.124325
18834.9609	-61.114460
18837.8906	-61.108383
18840.8203	-61.109409
18843.7500	-61.108002
18846.6797	-61.102497
18849.6094	-61.097542
18852.5391	-61.092892
18855.4688	-61.088223
18858.3984	-61.082161
18861.3281	-61.075130
18864.2578	-61.070229
18867.1875	-61.064163
18870.1172	-61.057220
18873.0469	-61.051888
18875.9766	-61.044979
18878.9062	-61.037735
18881.8359	-61.033112
18884.7656	-61.029785
18887.6953	-61.025806
18890.6250	-61.021503
18893.5547	-61.017929
18896.4844	-61.016495
18899.4141	-61.012058
18902.3438	-61.004448
18905.2734	-60.999050
18908.2031	-60.993248
18911.1328	-60.988003
18914.0625	-60.982952
18916.9922	-60.979053
18919.9219	-60.976089
18922.8516	-60.970978
18925.7812	-60.964870
18928.7109	-60.957298
18931.6406	-60.950237
18934.5703	-60.939213
18937.5000	-60.923561
18940.4297	-60.908756
18943.3594	-60.894096
18946.2891	-60.880997
18949.2188	-60.866749
18952.1484	-60.853104
18955.0781	-60.839275
18958.0078	-60.823013
18960.9375	-60.807850
18963.8672	-60.796127
18966.7969	-60.787376
18969.7266	-60.778664
18972.6562	-60.766979
18975.5859	-60.753868
18978.5156	-60.743168
18981.4453	-60.734592
18984.3750	-60.723511
18987.3047	-60.712173
18990.2344	-60.701046
18993.1641	-60.690197
18996.0938	-60.683277
18999.0234	-60.675251
19001.9531	-60.663242
19004.8828	-60.652966
19007.8125	-60.644497
19010.7422	-60.631889
19013.6719	-60.619587
19016.6016	-60.610516
19019.5312	-60.602013
19022.4609	-60.593918
19025.3906	-60.585354
19028.3203	-60.578403
19031.2500	-60.571823
19034.1797	-60.564575
19037.1094	-60.559586
19040.0391	-60.553356
19042.9688	-60.543724
19045.8984	-60.537678
19048.8281	-60.536446
19051.7578	-60.537163
19054.6875	-60.538368
19057.6172	-60.534241
19060.5469	-60.527954
19063.4766	-60.522827
19066.4062	-60.515610
19069.3359	-60.511803
19072.2656	-60.511036
19075.1953	-60.509071
19078.1250	-60.505951
19081.0547	-60.502487
19083.9844	-60.499443
19086.9141	-60.494678
19089.8438	-60.490749
19092.7734	-60.490746
19095.7031	-60.493298
19098.6328	-60.492596
19101.5625	-60.491646
19104.4922	-60.494381
19107.4219	-60.486824
19110.3516	-60.476070
19113.2812	-60.464928
19116.2109	-60.456944
19119.1406	-60.452980
19122.0703	-60.441822
19125.0000	-60.429756
19127.9297	-60.422058
19130.8594	-60.413601
19133.7891	-60.405354
19136.7188	-60.398037
19139.6484	-60.392658
19142.5781	-60.384216
19145.5078	-60.374500
19148.4375	-60.372639
19151.3672	-60.369625
19154.2969	-60.362896
19157.2266	-60.356121
19160.1562	-60.345535
19163.0859	-60.338402
19166.0156	-60.335556
19168.9453	-60.330032
19171.8750	-60.323734
19174.8047	-60.317009
19177.7344	-60.309380
19180.6641	-60.306496
19183.5938	-60.306431
19186.5234	-60.303284
19189.4531	-60.299454
19192.3828	-60.295948
19195.3125	-60.290726
19198.2422	-60.285934
19201.1719	-60.283276
19204.1016	-60.279301
19207.0312	-60.274643
19209.9609	-60.272381
19212.8906	-60.270893
19215.8203	-60.267113
19218.7500	-60.262669
19221.6797	-60.259708
19224.6094	-60.258392
19227.5391	-60.258957
19230.4688	-60.259716
19233.3984	-60.258156
19236.3281	-60.251213
19239.2578	-60.244572
19242.1875	-60.240856
19245.1172	-60.236752
19248.0469	-60.230793
19250.9766	-60.221493
19253.9062	-60.213238
19256.8359	-60.208157
19259.7656	-60.204887
19262.6953	-60.203651
19265.6250	-60.197838
19268.5547	-60.189133
19271.4844	-60.187378
19274.4141	-60.186874
19277.3438	-60.182442
19280.2734	-60.176731
19283.2031	-60.170761
19286.1328	-60.165913
19289.0625	-60.162987
19291.9922	-60.160294
19294.9219	-60.157337
19297.8516	-60.155590
19300.7812	-60.153954
19303.7109	-60.151123
19306.6406	-60.147949
19309.5703	-60.146755
19312.5000	-60.145458
19315.4297	-60.143658
19318.3594	-60.143219
19321.2891	-60.139919
19324.2188	-60.136806
19327.1484	-60.138474
19330.0781	-60.138573
19333.0078	-60.135708
19335.9375	-60.135094
19338.8672	-60.136230
19341.7969	-60.136730
19344.7266	-60.133919
19347.6562	-60.130234
19350.5859	-60.133335
19353.5156	-60.137444
19356.4453	-60.135811
19359.3750	-60.132885
19362.3047	-60.133259
19365.2344	-60.132397
19368.1641	-60.127579
19371.0938	-60.116653
19374.0234	-60.106823
19376.9531	-60.097530
19379.8828	-60.087673
19382.8125	-60.080788
19385.7422	-60.073292
19388.6719	-60.064880
19391.6016	-60.058292
19394.5312	-60.051399
19397.4609	-60.043491
19400.3906	-60.035297
19403.3203	-60.027878
19406.2500	-60.021236
19409.1797	-60.018738
19412.1094	-60.016129
19415.0391	-60.007656
19417.9688	-59.999237
19420.8984	-59.994740
19423.8281	-59.990360
19426.7578	-59.983429
19429.6875	-59.979031
19432.6172	-59.975060
19435.5469	-59.968071
19438.4766	-59.964272
19441.4062	-59.960751
19444.3359	-59.957001
19447.2656	-59.953930
19450.1953	-59.947010
