;Freq(Hz)	Relative Amplitude (dB): Left
18972.6562	-57.665409
18975.5859	-57.664482
18978.5156	-57.662388
18981.4453	-57.659245
18984.3750	-57.656857
18987.3047	-57.655186
18990.2344	-57.654350
18993.1641	-57.653858
18996.0938	-57.654835
18999.0234	-57.657005
19001.9531	-57.655186
19004.8828	-57.650513
19007.8125	-57.648338
19010.7422	-57.648678
19013.6719	-57.648113
19016.6016	-57.648697
19019.5312	-57.648331
19022.4609	-57.635101
19025.3906	-57.620861
19028.3203	-57.609276
19031.2500	-57.599499
19034.1797	-57.589897
19037.1094	-57.580097
19040.0391	-57.567860
19042.9688	-57.556011
19045.8984	-57.546310
19048.8281	-57.539566
19051.7578	-57.533127
19054.6875	-57.523010
19057.6172	-57.513443
19060.5469	-57.504780
19063.4766	-57.493736
19066.4062	-57.483734
19069.3359	-57.475960
19072.2656	-57.466030
19075.1953	-57.456211
19078.1250	-57.449074
19081.0547	-57.442474
19083.9844	-57.433525
19086.9141	-57.423603
19089.8438	-57.415527
19092.7734	-57.408409
19095.7031	-57.403511
19098.6328	-57.399536
19101.5625	-57.394035
19104.4922	-57.387424
19107.4219	-57.379154
19110.3516	-57.372154
19113.2812	-57.368252
19116.2109	-57.364700
19119.1406	-57.360210
19122.0703	-57.354343
19125.0000	-57.348637
19127.9297	-57.345787
19130.8594	-57.343624
19133.7891	-57.339455
19136.7188	-57.335075
19139.6484	-57.332577
19142.5781	-57.331944
19145.5078	-57.332073
19148.4375	-57.330021
19151.3672	-57.320103
19154.2969	-57.311615
19157.2266	-57.306305
19160.1562	-57.301678
19163.0859	-57.296455
19166.0156	-57.292286
19168.9453	-57.287796
19171.8750	-57.280869
19174.8047	-57.273911
19177.7344	-57.269936
19180.6641	-57.266705
19183.5938	-57.262665
19186.5234	-57.258049
19189.4531	-57.251488
19192.3828	-57.246883
19195.3125	-57.245419
19198.2422	-57.240318
19201.1719	-57.233955
19204.1016	-57.231995
19207.0312	-57.230392
19209.9609	-57.227444
19212.8906	-57.225227
19215.8203	-57.223812
19218.7500	-57.220814
19221.6797	-57.215244
19224.6094	-57.210365
19227.5391	-57.208485
19230.4688	-57.207771
19233.3984	-57.204342
19236.3281	-57.199734
19239.2578	-57.196758
19242.1875	-57.194592
19245.1172	-57.191956
19248.0469	-57.187729
19250.9766	-57.184998
19253.9062	-57.184036
19256.8359	-57.179646
19259.7656	-57.173332
19262.6953	-57.170509
19265.6250	-57.170059
19268.5547	-57.169403
19271.4844	-57.167011
19274.4141	-57.163506
19277.3438	-57.159126
19280.2734	-57.147083
19283.2031	-57.135582
19286.1328	-57.123169
19289.0625	-57.111298
19291.9922	-57.100010
19294.9219	-57.088142
19297.8516	-57.074055
19300.7812	-57.058281
19303.7109	-57.048779
19306.6406	-57.043301
19309.5703	-57.035557
19312.5000	-57.026871
19315.4297	-57.016018
19318.3594	-57.002769
19321.2891	-56.991356
19324.2188	-56.980427
19327.1484	-56.969425
19330.0781	-56.960186
19333.0078	-56.951229
19335.9375	-56.942581
19338.8672	-56.934055
19341.7969	-56.927185
19344.7266	-56.920715
19347.6562	-56.911728
19350.5859	-56.902424
19353.5156	-56.893990
19356.4453	-56.887917
19359.3750	-56.882912
19362.3047	-56.875465
19365.2344	-56.867783
19368.1641	-56.862209
19371.0938	-56.855026
19374.0234	-56.846985
19376.9531	-56.842018
19379.8828	-56.837612
19382.8125	-56.832043
19385.7422	-56.825165
19388.6719	-56.818790
19391.6016	-56.813622
19394.5312	-56.809181
19397.4609	-56.804268
19400.3906	-56.796879
19403.3203	-56.791306
19406.2500	-56.786896
19409.1797	-56.779850
19412.1094	-56.773830
19415.0391	-56.770782
19417.9688	-56.767532
19420.8984	-56.762218
19423.8281	-56.756313
19426.7578	-56.751873
19429.6875	-56.747341
19432.6172	-56.742622
19435.5469	-56.738605
19438.4766	-56.734318
19441.4062	-56.729328
19444.3359	-56.722603
19447.2656	-56.716095
19450.1953	-56.707401
19453.1250	-56.689064
19456.0547	-56.673004
19458.9844	-56.659782
19461.9141	-56.645126
19464.8438	-56.629982
19467.7734	-56.613800
19470.7031	-56.597626
19473.6328	-56.583843
19476.5625	-56.569595
19479.4922	-56.553398
19482.4219	-56.538395
19485.3516	-56.524334
19488.2812	-56.509617
19491.2109	-56.495186
19494.1406	-56.479267
19497.0703	-56.464054
19500.0000	-56.452187
19502.9297	-56.437328
19505.8594	-56.419827
19508.7891	-56.405117
19511.7188	-56.391094
19514.6484	-56.376705
19517.5781	-56.361641
19520.5078	-56.345531
19523.4375	-56.330864
19526.3672	-56.315334
19529.2969	-56.297184
19532.2266	-56.281689
19535.1562	-56.267784
19538.0859	-56.250645
19541.0156	-56.233078
19543.9453	-56.216644
19546.8750	-56.199482
19549.8047	-56.181358
19552.7344	-56.161526
19555.6641	-56.141308
19558.5938	-56.121693
19561.5234	-56.101147
19564.4531	-56.081837
