;Freq(Hz)	Relative Amplitude (dB): Left
17961.9141	-73.815224
17964.8438	-73.825516
17967.7734	-73.829033
17970.7031	-73.833282
17973.6328	-73.835167
17976.5625	-73.836586
17979.4922	-73.850616
17982.4219	-73.866524
17985.3516	-73.876228
17988.2812	-73.887642
17991.2109	-73.898849
17994.1406	-73.909798
17997.0703	-73.918434
18000.0000	-73.922951
18002.9297	-73.926315
18005.8594	-73.937439
18008.7891	-73.950623
18011.7188	-73.953537
18014.6484	-73.962486
18017.5781	-73.982208
18020.5078	-74.000763
18023.4375	-74.013687
18026.3672	-74.022430
18029.2969	-74.030106
18032.2266	-74.035110
18035.1562	-74.036690
18038.0859	-74.049133
18041.0156	-74.072258
18043.9453	-74.083252
18046.8750	-74.089035
18049.8047	-74.101028
18052.7344	-74.110741
18055.6641	-74.119156
18058.5938	-74.133423
18061.5234	-74.146431
18064.4531	-74.162498
18067.3828	-74.180954
18070.3125	-74.186661
18073.2422	-74.192886
18076.1719	-74.204063
18079.1016	-74.212540
18082.0312	-74.225639
18084.9609	-74.232979
18087.8906	-74.223206
18090.8203	-74.221855
18093.7500	-74.229858
18096.6797	-74.231216
18099.6094	-74.236221
18102.5391	-74.252739
18105.4688	-74.271545
18108.3984	-74.272758
18111.3281	-74.266434
18114.2578	-74.275131
18117.1875	-74.286255
18120.1172	-74.287125
18123.0469	-74.285980
18125.9766	-74.295509
18128.9062	-74.319855
18131.8359	-74.333862
18134.7656	-74.334404
18137.6953	-74.342117
18140.6250	-74.355980
18143.5547	-74.372581
18146.4844	-74.385307
18149.4141	-74.387550
18152.3438	-74.386459
18155.2734	-74.392792
18158.2031	-74.403442
18161.1328	-74.415146
18164.0625	-74.432243
18166.9922	-74.444389
18169.9219	-74.448067
18172.8516	-74.452400
18175.7812	-74.457031
18178.7109	-74.468849
18181.6406	-74.492798
18184.5703	-74.505196
18187.5000	-74.504845
18190.4297	-74.521011
18193.3594	-74.541847
18196.2891	-74.551270
18199.2188	-74.558876
18202.1484	-74.567230
18205.0781	-74.579025
18208.0078	-74.593353
18210.9375	-74.600655
18213.8672	-74.607056
18216.7969	-74.632347
18219.7266	-74.655151
18222.6562	-74.656738
18225.5859	-74.667198
18228.5156	-74.690536
18231.4453	-74.708534
18234.3750	-74.721809
18237.3047	-74.732697
18240.2344	-74.749481
18243.1641	-74.777046
18246.0938	-74.796631
18249.0234	-74.795700
18251.9531	-74.794731
18254.8828	-74.794647
18257.8125	-74.802673
18260.7422	-74.814400
18263.6719	-74.819626
18266.6016	-74.827126
18269.5312	-74.833565
18272.4609	-74.832642
18275.3906	-74.837952
18278.3203	-74.844109
18281.2500	-74.845627
18284.1797	-74.857620
18287.1094	-74.874687
18290.0391	-74.895813
18292.9688	-74.907967
18295.8984	-74.900970
18298.8281	-74.894836
18301.7578	-74.896904
18304.6875	-74.907913
18307.6172	-74.923073
18310.5469	-74.927887
18313.4766	-74.935478
18316.4062	-74.954025
18319.3359	-74.970047
18322.2656	-74.981850
18325.1953	-74.987457
18328.1250	-74.995239
18331.0547	-75.011765
18333.9844	-75.028099
18336.9141	-75.037933
18339.8438	-75.047997
18342.7734	-75.060486
18345.7031	-75.064499
18348.6328	-75.072784
18351.5625	-75.090073
18354.4922	-75.102859
18357.4219	-75.125946
18360.3516	-75.151146
18363.2812	-75.151855
18366.2109	-75.151855
18369.1406	-75.157860
18372.0703	-75.168755
18375.0000	-75.195305
18377.9297	-75.209778
18380.8594	-75.206551
18383.7891	-75.201347
18386.7188	-75.204216
18389.6484	-75.226715
18392.5781	-75.250198
18395.5078	-75.263702
18398.4375	-75.271851
18401.3672	-75.273392
18404.2969	-75.280838
18407.2266	-75.296684
